1.181,1.284,1.181,1.181,1.181,1.284,1.181,1.181,1.181,1.284,1.181,1.181,1.181,1.181,1.181
1.173,1.288,1.132,1.250,1.215,1.249,1.082,1.186,1.195,1.371,1.256,1.252,1.217,1.176,1.204
1.203,1.272,1.092,1.230,1.216,1.227,1.032,1.200,1.212,1.418,1.254,1.323,1.254,1.149,1.217
1.223,1.273,1.074,1.233,1.215,1.198,0.996,1.186,1.220,1.451,1.279,1.349,1.275,1.135,1.195
1.255,1.275,1.041,1.244,1.235,1.190,0.967,1.186,1.242,1.519,1.280,1.450,1.314,1.100,1.191
1.261,1.295,1.030,1.291,1.262,1.160,0.919,1.159,1.290,1.583,1.306,1.488,1.356,1.105,1.204
1.297,1.321,1.001,1.343,1.261,1.140,0.893,1.155,1.316,1.624,1.308,1.531,1.384,1.088,1.203
1.316,1.318,0.972,1.359,1.286,1.112,0.842,1.142,1.346,1.643,1.298,1.545,1.421,1.069,1.201
1.342,1.343,0.964,1.394,1.280,1.075,0.810,1.114,1.349,1.678,1.332,1.567,1.464,1.035,1.182
1.363,1.343,0.953,1.389,1.289,1.049,0.783,1.091,1.349,1.756,1.380,1.656,1.478,1.029,1.177
1.384,1.333,0.919,1.399,1.297,1.031,0.746,1.100,1.361,1.775,1.347,1.718,1.520,1.032,1.148
1.377,1.325,0.910,1.401,1.309,1.002,0.706,1.087,1.370,1.805,1.359,1.750,1.559,1.028,1.139
1.416,1.359,0.900,1.450,1.313,0.989,0.687,1.085,1.377,1.818,1.345,1.784,1.605,1.002,1.140
1.453,1.343,0.880,1.410,1.338,0.983,0.668,1.080,1.397,1.854,1.348,1.826,1.621,0.979,1.134
1.475,1.319,0.856,1.378,1.318,0.952,0.639,1.076,1.422,1.891,1.336,1.883,1.661,0.952,1.149
1.482,1.319,0.848,1.384,1.349,0.933,0.606,1.064,1.448,1.915,1.340,1.889,1.688,0.909,1.127
1.504,1.316,0.840,1.372,1.361,0.906,0.580,1.040,1.481,1.946,1.311,1.950,1.734,0.899,1.083
