0.250,0.250,0.250,0.250
-0.397,-0.439,-0.177,-0.158
-0.666,-0.717,-0.438,-0.433
-0.085,-0.135,0.151,0.161
0.376,0.319,0.599,0.617
0.147,0.095,0.376,0.399
0.362,0.286,0.605,0.611
0.358,0.287,0.592,0.603
0.261,0.220,0.499,0.516
-0.058,-0.109,0.181,0.205
0.034,-0.041,0.269,0.292
-0.132,-0.187,0.102,0.110
0.183,0.155,0.431,0.446
0.287,0.220,0.516,0.545
0.615,0.573,0.854,0.877
0.599,0.548,0.826,0.857
0.313,0.271,0.556,0.561
0.567,0.506,0.791,0.820
0.049,-0.032,0.261,0.280
-0.398,-0.436,-0.173,-0.148
-0.301,-0.335,-0.067,-0.030
-0.246,-0.296,-0.013,0.015
-0.653,-0.706,-0.429,-0.395
-1.169,-1.250,-0.954,-0.927
-0.892,-0.970,-0.681,-0.642
-0.558,-0.606,-0.327,-0.321
-0.651,-0.708,-0.402,-0.399
-1.252,-1.314,-1.018,-1.007
-0.450,-0.494,-0.222,-0.204
-0.413,-0.455,-0.192,-0.171
-0.334,-0.385,-0.115,-0.100
-0.611,-0.674,-0.409,-0.390
-0.748,-0.808,-0.530,-0.511
-0.336,-0.390,-0.139,-0.090
-0.242,-0.302,-0.043,0.007
0.186,0.116,0.389,0.415
-0.159,-0.243,0.060,0.068
0.430,0.348,0.653,0.667
0.796,0.721,1.006,1.024
0.137,0.047,0.340,0.353
0.139,0.080,0.372,0.380
-0.216,-0.260,0.014,0.039
-0.437,-0.502,-0.207,-0.209
-0.237,-0.297,-0.003,0.011
-0.306,-0.360,-0.069,-0.055
-0.691,-0.739,-0.455,-0.441
-0.348,-0.399,-0.108,-0.103
-0.243,-0.291,-0.016,-0.001
0.346,0.282,0.569,0.604
0.415,0.352,0.647,0.655
-0.125,-0.169,0.095,0.126
-0.161,-0.227,0.061,0.087
-0.236,-0.288,-0.006,0.008
-0.586,-0.641,-0.357,-0.341
-0.410,-0.466,-0.177,-0.176
-0.045,-0.105,0.192,0.201
-0.290,-0.327,-0.043,-0.024
-0.365,-0.398,-0.125,-0.117
-0.308,-0.366,-0.073,-0.078
0.056,0.042,0.302,0.327
-0.018,-0.060,0.198,0.228
-0.160,-0.227,0.042,0.065
0.276,0.214,0.485,0.521
-0.082,-0.137,0.138,0.157
-0.854,-0.915,-0.637,-0.596
-0.653,-0.693,-0.429,-0.397
-0.536,-0.583,-0.313,-0.292
-0.482,-0.533,-0.232,-0.220
0.021,-0.012,0.272,0.280
-0.140,-0.186,0.088,0.104
-0.160,-0.231,0.054,0.058
-0.522,-0.573,-0.285,-0.282
-0.174,-0.244,0.046,0.052
-0.168,-0.217,0.049,0.063
-0.526,-0.602,-0.323,-0.307
-0.710,-0.769,-0.500,-0.463
-0.988,-1.048,-0.763,-0.739
-0.637,-0.697,-0.416,-0.392
-0.524,-0.579,-0.293,-0.267
-0.670,-0.736,-0.452,-0.438
-0.617,-0.660,-0.390,-0.365
0.274,0.214,0.518,0.516
0.661,0.627,0.911,0.909
0.573,0.525,0.816,0.814
0.316,0.249,0.537,0.543
0.244,0.189,0.455,0.505
-0.040,-0.098,0.193,0.216
-0.074,-0.136,0.150,0.166
0.044,-0.015,0.259,0.285
0.531,0.494,0.749,0.749
-0.112,-0.168,0.111,0.123
0.052,-0.024,0.265,0.276
-0.035,-0.118,0.173,0.179
0.399,0.319,0.629,0.650
0.975,0.901,1.196,1.225
0.848,0.775,1.080,1.097
0.856,0.800,1.085,1.096
0.740,0.683,0.965,0.977
0.890,0.812,1.116,1.120
0.334,0.270,0.558,0.585
0.607,0.558,0.823,0.830
0.902,0.835,1.119,1.145
0.169,0.120,0.380,0.404
-0.076,-0.112,0.167,0.182
-0.450,-0.497,-0.226,-0.225
-0.549,-0.614,-0.343,-0.320
0.019,0.004,0.263,0.291
-0.237,-0.290,0.003,0.013
-0.552,-0.590,-0.300,-0.299
0.077,0.041,0.313,0.321
0.113,0.067,0.341,0.362
0.179,0.143,0.389,0.445
0.062,0.012,0.291,0.300
0.442,0.391,0.664,0.682
0.322,0.283,0.569,0.576
0.211,0.144,0.436,0.452
0.564,0.503,0.778,0.792
0.396,0.337,0.626,0.618
0.334,0.283,0.554,0.585
-0.123,-0.187,0.092,0.120
-0.048,-0.124,0.147,0.186
0.095,0.060,0.325,0.344
-0.122,-0.177,0.110,0.143
0.032,-0.019,0.267,0.288
-0.034,-0.094,0.194,0.210
0.482,0.418,0.702,0.732
0.625,0.577,0.849,0.871
0.495,0.457,0.734,0.754
0.518,0.479,0.761,0.775
0.845,0.769,1.074,1.087
0.965,0.890,1.172,1.180
0.270,0.197,0.488,0.492
0.421,0.374,0.646,0.679
0.335,0.276,0.568,0.587
0.036,-0.014,0.264,0.285
0.851,0.779,1.051,1.089
1.265,1.206,1.478,1.511
0.632,0.587,0.857,0.885
1.327,1.286,1.560,1.576
0.611,0.555,0.842,0.869
0.190,0.145,0.419,0.445
-0.084,-0.134,0.142,0.164
0.142,0.070,0.367,0.389
0.165,0.098,0.391,0.426
0.033,-0.008,0.275,0.293
0.229,0.178,0.477,0.492
0.129,0.081,0.353,0.372
-0.092,-0.140,0.146,0.150
-0.207,-0.264,0.023,0.035
-0.181,-0.228,0.054,0.059
-0.357,-0.414,-0.137,-0.132
-0.117,-0.205,0.090,0.107
-0.390,-0.449,-0.164,-0.151
-0.386,-0.416,-0.162,-0.133
-0.122,-0.170,0.096,0.114
-0.197,-0.272,0.026,0.022
0.069,0.019,0.300,0.287
-0.343,-0.368,-0.080,-0.076
-0.330,-0.366,-0.089,-0.064
0.080,0.044,0.310,0.333
-0.255,-0.310,-0.014,-0.006
-0.733,-0.811,-0.506,-0.488
-0.890,-0.955,-0.674,-0.633
-0.401,-0.453,-0.178,-0.150
0.148,0.124,0.392,0.410
0.107,0.057,0.334,0.361
-0.072,-0.123,0.156,0.162
0.356,0.296,0.575,0.589
0.815,0.760,1.024,1.049
0.163,0.106,0.392,0.403
0.731,0.663,0.952,0.964
0.554,0.490,0.767,0.768
-0.125,-0.163,0.125,0.144
-0.370,-0.425,-0.171,-0.137
-0.359,-0.409,-0.140,-0.114
-0.428,-0.487,-0.188,-0.191
-0.496,-0.557,-0.268,-0.248
-0.440,-0.511,-0.214,-0.191
-0.532,-0.559,-0.289,-0.280
0.039,-0.007,0.267,0.275
0.026,-0.024,0.259,0.276
-0.342,-0.387,-0.124,-0.110
