-0.592,0.050,2.478,-1.779,0.396,2.003,0.149,-0.551,1.270,2.261,-0.183,1.193
-0.580,0.065,2.456,-1.770,0.398,1.995,0.139,-0.556,1.270,2.261,-0.184,1.195
-0.590,0.066,2.459,-1.784,0.390,2.002,0.143,-0.552,1.264,2.261,-0.186,1.193
-0.593,0.048,2.455,-1.810,0.359,2.030,0.166,-0.549,1.243,2.263,-0.188,1.190
-0.611,0.061,2.452,-1.802,0.327,2.062,0.154,-0.544,1.246,2.264,-0.196,1.191
-0.602,0.053,2.431,-1.805,0.329,2.059,0.148,-0.553,1.252,2.266,-0.196,1.189
-0.609,0.042,2.431,-1.797,0.312,2.074,0.149,-0.577,1.261,2.265,-0.202,1.191
-0.603,0.049,2.421,-1.826,0.281,2.097,0.140,-0.589,1.268,2.269,-0.206,1.192
-0.594,0.046,2.403,-1.816,0.271,2.107,0.154,-0.581,1.250,2.269,-0.207,1.193
-0.597,0.070,2.390,-1.806,0.249,2.125,0.151,-0.585,1.247,2.266,-0.209,1.197
-0.599,0.063,2.384,-1.802,0.232,2.139,0.155,-0.591,1.243,2.263,-0.214,1.197
-0.576,0.085,2.357,-1.808,0.225,2.143,0.141,-0.596,1.248,2.263,-0.217,1.199
-0.584,0.086,2.348,-1.808,0.229,2.137,0.133,-0.605,1.254,2.267,-0.218,1.196
-0.586,0.085,2.343,-1.851,0.261,2.102,0.140,-0.605,1.248,2.265,-0.215,1.194
-0.593,0.087,2.346,-1.854,0.277,2.082,0.154,-0.601,1.237,2.264,-0.221,1.199
-0.587,0.095,2.329,-1.850,0.276,2.076,0.131,-0.608,1.245,2.265,-0.227,1.198
-0.570,0.103,2.305,-1.846,0.277,2.075,0.132,-0.611,1.246,2.268,-0.227,1.195
-0.550,0.118,2.275,-1.828,0.257,2.095,0.113,-0.613,1.251,2.268,-0.227,1.196
-0.578,0.105,2.290,-1.831,0.292,2.055,0.106,-0.606,1.257,2.266,-0.230,1.197
-0.561,0.122,2.255,-1.845,0.290,2.059,0.098,-0.608,1.261,2.266,-0.232,1.198
-0.564,0.136,2.243,-1.832,0.283,2.067,0.084,-0.620,1.269,2.265,-0.243,1.204
-0.538,0.145,2.213,-1.849,0.259,2.080,0.103,-0.631,1.258,2.265,-0.249,1.206
-0.539,0.135,2.201,-1.855,0.267,2.071,0.099,-0.629,1.251,2.259,-0.253,1.209
-0.547,0.136,2.195,-1.858,0.234,2.101,0.092,-0.646,1.263,2.259,-0.258,1.213
-0.569,0.124,2.207,-1.838,0.227,2.108,0.096,-0.662,1.264,2.258,-0.260,1.212
-0.537,0.127,2.167,-1.825,0.243,2.087,0.085,-0.654,1.264,2.258,-0.259,1.209
-0.529,0.141,2.145,-1.790,0.238,2.082,0.078,-0.653,1.257,2.250,-0.260,1.213
-0.525,0.130,2.121,-1.781,0.224,2.092,0.072,-0.662,1.257,2.253,-0.263,1.210
-0.520,0.136,2.102,-1.797,0.247,2.069,0.078,-0.665,1.257,2.249,-0.269,1.214
-0.491,0.159,2.056,-1.820,0.227,2.088,0.082,-0.679,1.262,2.249,-0.270,1.212
-0.478,0.164,2.032,-1.823,0.203,2.104,0.077,-0.687,1.263,2.250,-0.275,1.214
-0.508,0.131,2.048,-1.828,0.203,2.102,0.071,-0.687,1.255,2.248,-0.277,1.216
-0.510,0.125,2.036,-1.847,0.201,2.100,0.067,-0.685,1.259,2.253,-0.280,1.214
-0.527,0.123,2.023,-1.849,0.189,2.113,0.063,-0.687,1.263,2.254,-0.286,1.218
-0.513,0.143,1.986,-1.860,0.181,2.117,0.066,-0.699,1.262,2.255,-0.287,1.215
