0.250,0.250,0.250,0.250
0.466,0.413,0.638,0.662
0.116,0.067,0.356,0.337
0.218,0.157,0.457,0.434
-0.302,-0.370,-0.077,-0.059
0.187,0.139,0.421,0.434
-0.068,-0.111,0.149,0.156
0.334,0.289,0.557,0.582
0.569,0.543,0.793,0.838
0.408,0.373,0.654,0.675
0.640,0.611,0.895,0.881
0.588,0.535,0.814,0.846
0.465,0.431,0.705,0.717
0.477,0.434,0.722,0.730
0.394,0.341,0.635,0.634
0.416,0.355,0.632,0.647
0.348,0.301,0.593,0.612
-0.146,-0.212,0.075,0.089
-0.124,-0.187,0.112,0.121
0.358,0.309,0.594,0.581
0.511,0.448,0.753,0.746
0.643,0.591,0.869,0.890
0.220,0.147,0.447,0.438
0.086,0.002,0.313,0.319
0.217,0.137,0.424,0.442
-0.120,-0.190,0.119,0.113
0.537,0.477,0.762,0.769
0.443,0.387,0.685,0.672
0.604,0.580,0.843,0.853
0.686,0.632,0.906,0.944
0.192,0.122,0.428,0.445
0.523,0.469,0.753,0.785
-0.046,-0.119,0.159,0.179
-0.085,-0.141,0.148,0.160
-0.010,-0.063,0.225,0.225
0.092,0.035,0.322,0.317
-0.052,-0.130,0.183,0.187
0.024,-0.049,0.259,0.270
0.371,0.300,0.601,0.618
0.556,0.502,0.796,0.795
0.703,0.649,0.933,0.938
0.241,0.196,0.470,0.479
0.762,0.686,1.000,0.989
0.317,0.271,0.562,0.585
0.044,-0.022,0.286,0.286
0.145,0.077,0.381,0.391
0.442,0.377,0.663,0.678
0.507,0.439,0.713,0.744
0.572,0.515,0.795,0.815
0.488,0.424,0.731,0.742
0.554,0.483,0.800,0.799
-0.097,-0.158,0.124,0.141
-0.488,-0.565,-0.260,-0.245
-0.704,-0.777,-0.474,-0.452
-0.495,-0.539,-0.229,-0.229
-0.497,-0.578,-0.264,-0.249
-1.047,-1.107,-0.812,-0.789
-1.233,-1.280,-0.987,-0.975
-1.167,-1.239,-0.946,-0.934
-0.810,-0.848,-0.577,-0.572
-1.197,-1.229,-0.948,-0.944
-1.215,-1.257,-0.975,-0.954
-0.638,-0.716,-0.417,-0.410
-0.569,-0.617,-0.332,-0.327
-1.041,-1.088,-0.794,-0.779
-0.755,-0.841,-0.536,-0.532
0.020,-0.036,0.267,0.269
-0.041,-0.084,0.220,0.216
-0.291,-0.361,-0.041,-0.019
-0.105,-0.163,0.142,0.153
0.216,0.151,0.462,0.460
0.793,0.738,1.031,1.031
0.369,0.321,0.629,0.631
0.065,0.001,0.311,0.294
0.026,-0.038,0.274,0.269
-0.325,-0.381,-0.089,-0.105
-0.049,-0.116,0.187,0.209
-0.321,-0.403,-0.111,-0.086
-0.659,-0.703,-0.427,-0.417
-1.015,-1.064,-0.783,-0.771
-1.237,-1.284,-0.983,-0.987
-1.019,-1.075,-0.751,-0.764
-0.731,-0.790,-0.487,-0.488
-0.205,-0.267,0.010,0.026
-0.011,-0.078,0.197,0.224
0.335,0.281,0.564,0.566
0.160,0.112,0.422,0.400
