0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
-0.028,0.039,-0.045,0.110,-0.477,0.100,-0.305,0.264,-0.017,-0.124,-0.393,-0.076,-0.340,0.284
0.010,-0.197,-0.019,0.201,-0.339,-0.034,-0.334,0.308,0.003,-0.149,-0.349,-0.100,-0.443,0.158
0.012,-0.224,0.145,0.157,-0.419,0.068,-0.168,0.295,0.004,-0.037,-0.292,0.035,-0.159,0.331
-0.080,-0.269,-0.134,-0.077,-0.635,-0.118,-0.479,0.261,-0.173,-0.221,-0.430,-0.171,-0.532,0.125
-0.237,-0.227,-0.027,-0.028,-0.578,-0.267,-0.504,0.042,-0.307,-0.359,-0.561,-0.294,-0.652,0.085
-0.461,-0.304,-0.171,-0.336,-0.809,-0.480,-0.847,-0.152,-0.377,-0.500,-0.769,-0.379,-0.616,-0.203
-0.388,-0.327,-0.206,-0.175,-0.757,-0.278,-0.617,0.033,-0.416,-0.500,-0.718,-0.236,-0.624,-0.142
-0.065,-0.347,-0.035,-0.046,-0.717,-0.169,-0.396,0.217,-0.280,-0.418,-0.679,-0.178,-0.508,0.044
-0.460,-0.469,-0.206,-0.058,-0.773,-0.217,-0.585,0.050,-0.289,-0.387,-0.765,-0.131,-0.597,-0.090
-0.431,-0.714,-0.477,-0.260,-0.915,-0.415,-0.621,-0.206,-0.511,-0.545,-0.698,-0.433,-0.888,-0.260
-0.606,-0.705,-0.584,-0.500,-1.018,-0.576,-0.827,-0.289,-0.735,-0.623,-0.859,-0.577,-0.994,-0.414
-0.528,-0.550,-0.559,-0.473,-1.015,-0.581,-0.873,-0.381,-0.777,-0.649,-0.913,-0.627,-0.989,-0.272
-0.349,-0.643,-0.418,-0.180,-0.839,-0.473,-0.762,-0.171,-0.505,-0.593,-0.727,-0.518,-0.861,-0.316
-0.313,-0.362,-0.353,-0.186,-0.802,-0.266,-0.561,-0.092,-0.364,-0.481,-0.933,-0.358,-0.651,-0.106
-0.177,-0.384,-0.300,-0.138,-0.751,-0.383,-0.748,-0.010,-0.380,-0.419,-0.627,-0.262,-0.718,-0.145
-0.142,-0.371,-0.224,-0.107,-0.696,-0.153,-0.630,0.047,-0.323,-0.283,-0.704,-0.192,-0.561,-0.067
-0.140,-0.283,-0.176,-0.094,-0.613,-0.124,-0.389,0.143,-0.272,-0.379,-0.585,-0.242,-0.466,0.016
-0.038,-0.211,-0.017,0.210,-0.461,0.097,-0.289,0.353,-0.057,-0.204,-0.577,0.093,-0.229,0.349
-0.014,0.009,0.088,0.261,-0.603,-0.038,-0.290,0.264,-0.080,-0.062,-0.571,-0.064,-0.255,0.062
0.060,0.056,0.306,0.413,-0.174,0.213,-0.085,0.451,0.129,0.023,-0.393,0.189,-0.136,0.467
0.405,0.223,0.523,0.581,-0.079,0.590,0.070,0.635,0.398,0.258,-0.119,0.428,0.109,0.699
0.400,0.138,0.394,0.525,-0.120,0.492,0.016,0.776,0.337,0.289,-0.110,0.403,0.079,0.418
0.317,0.001,0.306,0.386,-0.220,0.251,0.057,0.572,0.055,0.084,-0.172,0.331,0.032,0.460
0.383,0.147,0.427,0.444,-0.147,0.359,-0.011,0.538,0.251,0.055,-0.236,0.378,-0.067,0.571
0.021,-0.080,0.203,0.235,-0.324,0.153,-0.193,0.335,0.040,-0.121,-0.456,0.089,-0.288,0.309
0.035,-0.143,0.051,0.182,-0.422,0.036,-0.077,0.205,-0.217,-0.104,-0.295,0.029,-0.167,0.235
0.127,-0.062,0.144,0.145,-0.284,0.034,-0.305,0.462,0.025,-0.068,-0.278,-0.031,-0.288,0.302
0.194,-0.013,0.317,0.259,-0.362,0.203,-0.108,0.453,0.101,0.038,-0.252,0.171,-0.257,0.301
-0.130,-0.005,-0.003,0.053,-0.566,0.043,-0.354,0.200,-0.042,-0.035,-0.428,0.136,-0.213,0.294
-0.005,-0.243,-0.046,0.052,-0.362,-0.017,-0.313,0.273,-0.060,-0.208,-0.345,0.031,-0.308,0.222
-0.026,-0.185,0.039,0.016,-0.451,-0.090,-0.310,0.298,-0.045,-0.136,-0.463,-0.028,-0.330,0.185
0.056,-0.105,0.194,0.247,-0.362,0.162,-0.129,0.529,0.075,-0.014,-0.059,0.272,-0.267,0.341
0.224,0.177,0.274,0.331,-0.268,0.245,-0.037,0.453,0.273,0.161,-0.164,0.239,-0.180,0.382
0.117,-0.031,0.053,0.292,-0.535,0.088,-0.009,0.409,0.078,-0.074,-0.330,0.041,-0.278,0.363
-0.150,-0.322,0.012,-0.032,-0.525,-0.085,-0.454,0.255,-0.127,-0.207,-0.568,-0.071,-0.298,0.154
-0.055,-0.235,0.104,0.099,-0.465,0.102,-0.393,0.327,-0.090,-0.139,-0.513,-0.013,-0.225,0.148
-0.356,-0.215,-0.248,-0.035,-0.601,-0.376,-0.615,0.043,-0.329,-0.351,-0.564,-0.291,-0.404,0.056
-0.116,-0.326,-0.231,-0.039,-0.579,-0.153,-0.591,0.162,-0.228,-0.322,-0.569,-0.220,-0.341,0.056
-0.163,0.019,0.121,0.091,-0.422,0.045,-0.174,0.329,-0.159,-0.150,-0.317,-0.042,-0.337,0.268
-0.009,-0.068,0.014,0.125,-0.532,0.080,-0.312,0.285,-0.036,-0.108,-0.439,-0.077,-0.370,0.210
-0.056,-0.207,0.025,0.122,-0.578,-0.218,-0.221,0.302,-0.112,-0.021,-0.473,-0.171,-0.307,0.162
0.040,-0.116,0.173,0.221,-0.310,0.044,-0.295,0.367,0.121,-0.061,-0.200,0.134,-0.323,0.339
0.255,0.108,0.153,0.259,-0.265,0.034,-0.133,0.420,0.016,-0.048,-0.381,0.189,-0.292,0.477
-0.074,-0.103,0.054,0.193,-0.426,-0.067,-0.361,0.281,-0.029,-0.052,-0.634,-0.031,-0.263,0.195
-0.018,-0.111,-0.116,0.098,-0.593,0.022,-0.474,0.232,0.006,-0.183,-0.502,-0.042,-0.354,0.075
-0.288,-0.202,-0.096,-0.116,-0.587,-0.182,-0.479,0.218,0.049,-0.285,-0.529,-0.113,-0.261,0.172
-0.100,-0.102,0.037,-0.220,-0.544,-0.377,-0.528,0.115,-0.163,-0.440,-0.365,-0.055,-0.381,0.020
0.349,-0.006,0.304,0.349,-0.171,0.146,0.070,0.542,0.194,-0.178,-0.259,0.221,-0.058,0.484
0.247,0.242,0.473,0.562,-0.108,0.290,0.111,0.675,0.190,0.118,-0.073,0.249,-0.025,0.465
0.430,0.267,0.459,0.496,-0.175,0.410,0.131,0.698,0.409,0.212,0.013,0.394,0.132,0.503
0.282,0.338,0.426,0.422,0.005,0.417,-0.154,0.674,0.298,0.218,-0.086,0.317,0.025,0.562
0.240,0.202,0.373,0.402,-0.115,0.327,0.002,0.633,0.281,0.114,-0.226,0.299,0.040,0.519
0.189,0.138,0.405,0.559,-0.076,0.348,-0.100,0.524,0.214,0.194,-0.093,0.274,-0.055,0.409
0.065,0.040,0.167,0.293,-0.357,0.263,-0.289,0.428,0.180,0.018,-0.077,0.115,-0.313,0.211
0.197,0.112,0.376,0.453,-0.277,0.248,0.132,0.440,0.167,0.244,0.075,0.280,-0.008,0.380
0.217,0.068,0.420,0.369,-0.138,0.538,-0.045,0.552,0.355,0.271,0.050,0.412,0.047,0.483
0.320,-0.062,0.166,0.324,-0.390,0.242,-0.118,0.533,0.074,0.094,-0.301,0.373,-0.050,0.334
0.166,0.022,0.189,0.443,-0.200,0.043,0.002,0.411,0.002,0.017,-0.458,0.288,-0.130,0.387
0.060,-0.031,0.182,0.315,-0.310,0.247,-0.158,0.489,0.139,-0.008,-0.246,0.213,-0.145,0.315
0.115,0.048,0.264,0.243,-0.322,0.074,-0.187,0.377,0.054,0.048,-0.207,0.228,-0.161,0.318
0.399,0.188,0.387,0.554,-0.180,0.277,0.129,0.684,0.272,0.191,-0.146,0.342,-0.087,0.431
0.397,0.330,0.461,0.530,-0.200,0.496,0.070,0.760,0.525,0.425,0.156,0.434,0.322,0.617
0.429,0.144,0.448,0.478,-0.214,0.466,0.163,0.776,0.267,0.314,-0.042,0.336,-0.001,0.565
0.173,0.157,0.180,0.275,-0.158,0.147,0.026,0.440,0.069,0.231,-0.144,0.266,-0.017,0.439
0.263,0.094,0.319,0.311,-0.376,0.086,-0.207,0.283,0.122,0.024,-0.288,0.167,-0.137,0.509
0.228,-0.097,0.063,0.227,-0.424,0.020,-0.210,0.478,0.065,-0.085,-0.221,0.206,-0.188,0.337
0.182,-0.003,0.257,0.179,-0.298,0.172,-0.202,0.448,0.051,-0.073,-0.445,0.099,-0.196,0.300
-0.132,-0.290,0.031,0.007,-0.509,-0.121,-0.576,0.261,-0.127,-0.172,-0.572,-0.158,-0.210,0.191
-0.101,-0.258,0.067,0.096,-0.334,0.009,-0.235,0.269,-0.049,-0.095,-0.599,-0.028,-0.366,0.178
0.034,-0.085,0.046,0.272,-0.328,0.094,-0.254,0.310,0.013,-0.046,-0.448,0.108,-0.411,0.223
-0.012,-0.246,0.152,0.083,-0.501,0.109,-0.202,0.331,-0.142,-0.139,-0.514,-0.127,-0.338,0.170
-0.144,-0.352,-0.175,0.108,-0.475,-0.128,-0.552,0.220,-0.142,-0.334,-0.571,-0.128,-0.437,0.136
-0.016,-0.065,0.028,0.107,-0.380,0.000,-0.300,0.242,0.022,-0.214,-0.370,0.064,-0.350,0.223
