0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
-0.143,-0.276,0.019,0.184,-0.494,-0.074,-0.491,0.254
-0.008,-0.193,0.169,0.177,-0.246,0.105,-0.464,0.338
-0.261,-0.410,-0.092,-0.157,-0.521,-0.173,-0.884,-0.043
-0.389,-0.329,-0.048,-0.224,-0.549,-0.197,-0.675,-0.156
-0.214,-0.351,0.029,0.039,-0.388,-0.232,-0.525,0.041
-0.492,-0.452,-0.169,-0.230,-0.675,-0.283,-0.733,-0.057
-0.736,-0.689,-0.435,-0.453,-0.826,-0.694,-1.148,-0.282
-0.822,-0.797,-0.503,-0.639,-1.065,-0.868,-1.191,-0.466
-0.820,-0.806,-0.607,-0.676,-1.011,-0.834,-1.227,-0.577
-1.129,-1.227,-0.847,-0.884,-1.360,-1.101,-1.592,-0.922
-1.032,-1.062,-0.715,-0.817,-1.132,-0.880,-1.376,-0.574
-0.865,-0.922,-0.642,-0.652,-1.116,-0.627,-1.188,-0.549
-0.859,-1.123,-0.742,-0.810,-1.211,-0.801,-1.547,-0.645
-0.770,-1.021,-0.646,-0.619,-0.992,-0.710,-1.248,-0.591
-0.830,-0.948,-0.702,-0.643,-1.217,-0.838,-1.277,-0.551
-0.590,-0.471,-0.312,-0.354,-0.780,-0.405,-1.084,-0.221
-0.442,-0.500,-0.259,-0.356,-0.881,-0.369,-0.893,-0.212
-0.167,-0.205,0.070,0.011,-0.326,-0.149,-0.513,0.141
-0.340,-0.369,-0.100,-0.107,-0.474,-0.311,-0.596,-0.036
-0.202,-0.397,-0.089,-0.165,-0.548,-0.235,-0.607,-0.024
0.018,-0.087,0.060,0.155,-0.462,-0.142,-0.390,0.104
-0.164,-0.323,0.002,0.017,-0.438,-0.184,-0.492,0.088
-0.114,-0.189,0.108,0.121,-0.264,-0.123,-0.461,0.139
-0.092,-0.161,0.161,0.018,-0.206,-0.038,-0.352,0.222
-0.163,-0.149,-0.008,0.000,-0.422,-0.095,-0.530,0.095
-0.070,-0.114,0.244,0.111,-0.383,-0.045,-0.389,0.177
-0.491,-0.530,-0.268,-0.306,-0.634,-0.353,-0.869,-0.155
-0.035,-0.124,0.135,0.140,-0.222,-0.082,-0.415,0.258
-0.339,-0.224,0.042,-0.051,-0.433,-0.086,-0.660,-0.001
0.025,-0.099,0.208,0.114,-0.285,-0.014,-0.570,0.239
0.069,-0.005,0.261,0.189,-0.253,0.113,-0.421,0.244
-0.033,-0.061,0.238,0.343,-0.210,0.057,-0.373,0.282
-0.169,-0.115,0.073,0.105,-0.431,-0.075,-0.523,0.144
-0.094,-0.289,0.104,-0.008,-0.414,-0.093,-0.502,0.176
0.377,0.057,0.458,0.414,-0.025,0.365,-0.000,0.568
0.258,0.217,0.337,0.336,-0.018,0.187,-0.204,0.509
0.312,0.434,0.437,0.634,0.213,0.326,-0.053,0.665
0.269,0.274,0.520,0.504,0.096,0.362,-0.037,0.656
0.457,0.440,0.660,0.572,0.202,0.520,0.028,0.732
0.188,0.099,0.386,0.398,-0.005,0.160,-0.179,0.557
0.345,0.187,0.635,0.411,0.120,0.402,-0.070,0.565
0.194,0.201,0.541,0.377,-0.011,0.310,-0.158,0.556
0.515,0.350,0.719,0.622,0.207,0.462,-0.016,0.705
0.573,0.563,0.783,0.733,0.375,0.665,0.168,0.842
0.325,0.200,0.500,0.441,-0.036,0.359,-0.105,0.577
0.220,0.120,0.388,0.419,-0.123,0.228,-0.171,0.334
0.053,-0.084,0.163,0.151,-0.226,0.002,-0.412,0.283
0.018,-0.045,0.404,0.380,-0.101,0.125,-0.355,0.317
0.132,0.232,0.313,0.283,-0.041,0.134,-0.345,0.409
-0.117,-0.171,0.092,0.019,-0.357,-0.001,-0.507,0.247
