0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036
0.489,0.221,0.435,-0.008,0.575,0.066,0.439,0.196,0.259,0.516,-0.042,0.683,0.094,0.377,0.349,0.376,0.492,0.116,0.278,0.536,0.151,0.006,0.817,-0.103,0.667,0.076,0.215,0.147
0.526,0.310,0.659,0.055,0.654,0.405,0.419,0.035,0.322,0.642,0.013,0.726,0.408,0.247,0.694,0.189,0.804,0.074,0.226,0.702,0.629,-0.145,0.940,0.049,0.592,0.377,0.115,0.760
0.588,0.261,0.658,0.030,0.880,0.409,0.330,0.276,0.068,0.866,0.018,0.738,0.500,0.456,0.638,0.341,0.903,0.109,0.350,0.627,0.710,-0.312,1.358,-0.242,1.025,-0.217,0.714,0.340
0.430,0.472,0.490,0.489,0.538,0.824,0.051,0.448,-0.003,0.728,0.142,0.566,0.863,0.230,0.807,0.187,1.001,0.148,0.581,0.531,0.675,-0.239,1.077,-0.104,0.795,-0.117,0.762,0.176
0.588,0.387,0.565,0.515,0.665,0.630,0.316,0.221,-0.070,0.909,0.075,0.512,0.842,0.277,0.832,0.082,1.328,-0.096,0.635,0.593,0.597,-0.092,1.128,-0.146,0.706,0.447,0.265,0.470
0.278,0.544,0.656,0.617,0.668,0.608,0.454,0.148,0.244,0.456,0.429,0.432,0.887,0.463,0.789,0.116,1.294,-0.015,0.766,0.529,0.816,-0.441,1.370,-0.517,0.993,0.196,0.570,0.164
0.182,0.565,0.605,0.309,1.074,0.432,0.445,-0.079,0.317,0.372,0.519,0.336,0.969,0.389,0.919,0.088,1.340,-0.155,0.825,0.535,0.847,-0.521,1.543,-0.633,1.214,0.224,0.441,0.530
0.063,0.511,0.631,0.445,0.850,0.418,0.570,-0.184,0.400,0.093,0.890,-0.082,1.377,-0.049,1.329,-0.201,1.455,-0.369,0.852,0.739,0.622,-0.279,1.159,-0.324,1.223,0.227,0.708,0.200
0.100,0.495,0.688,0.414,0.975,0.498,0.641,-0.581,0.526,-0.362,1.104,-0.147,1.297,0.231,0.987,0.220,1.372,-0.270,0.742,0.850,0.555,-0.059,0.814,-0.210,1.068,0.450,0.513,0.565
0.357,0.246,1.029,0.158,1.319,0.448,0.600,-0.348,0.559,0.021,0.737,0.116,1.176,0.213,0.860,0.187,1.466,-0.381,0.818,0.750,0.537,0.149,0.898,-0.503,1.457,0.122,0.936,-0.025
0.264,0.456,0.929,-0.028,1.456,0.299,0.729,-0.454,0.743,-0.060,0.835,-0.262,1.418,0.013,0.986,0.062,1.740,-0.675,0.970,0.574,0.611,-0.089,0.966,-0.306,1.204,0.166,0.622,0.243
0.300,0.435,1.005,-0.131,1.378,0.178,0.727,-0.264,0.405,0.269,0.438,0.263,1.114,0.326,0.725,0.293,1.314,-0.215,0.626,0.784,0.332,0.278,0.784,-0.079,0.932,0.226,0.638,0.416
0.039,0.526,0.568,0.245,1.154,0.602,0.365,0.060,0.207,0.352,0.535,0.525,0.796,0.599,0.545,0.527,1.234,-0.118,0.814,0.617,0.536,0.175,0.937,-0.131,0.794,0.598,0.131,0.825
-0.133,0.819,0.346,0.520,0.907,0.712,0.408,-0.082,0.047,0.415,0.521,0.386,0.942,0.419,0.660,0.610,1.326,-0.093,0.651,0.553,0.341,0.482,0.653,0.119,0.632,0.557,0.158,0.740
0.097,0.722,0.631,0.592,0.823,0.710,0.547,-0.184,-0.070,0.837,0.205,0.402,0.943,0.223,0.939,0.447,1.374,-0.157,0.715,0.539,0.390,0.197,1.042,-0.223,1.030,0.239,0.502,0.539
0.128,0.543,0.768,0.456,1.040,0.544,0.552,-0.418,0.163,0.522,0.241,0.750,0.595,0.658,0.385,0.957,0.866,0.301,0.381,0.694,0.353,0.053,0.958,-0.247,0.989,0.342,0.445,0.885
-0.058,0.743,0.471,0.562,0.896,0.582,0.475,-0.177,-0.141,0.999,-0.097,1.015,0.443,0.774,0.329,0.926,0.783,0.246,0.478,0.635,0.459,0.175,0.702,-0.020,1.100,0.169,0.657,0.730
0.100,0.733,0.328,0.795,0.765,0.909,0.199,-0.367,0.282,0.517,0.309,0.651,0.717,0.524,0.422,0.951,0.729,0.197,0.526,0.515,0.642,0.009,0.620,-0.317,1.321,0.202,0.781,0.470
0.105,0.727,0.280,0.645,0.997,0.766,0.220,-0.458,0.141,0.582,0.178,0.783,0.760,0.505,0.643,0.779,0.923,0.020,0.699,0.344,0.903,-0.309,0.803,-0.451,1.473,-0.021,0.920,0.565
0.013,0.813,0.259,0.565,1.048,0.707,0.208,-0.266,0.139,0.789,-0.083,1.097,0.512,0.781,0.344,1.013,0.613,0.279,0.639,0.435,0.918,-0.347,0.580,-0.392,1.292,0.006,0.777,0.611
-0.047,1.022,-0.112,0.871,0.814,0.931,0.155,-0.100,-0.016,0.759,-0.006,0.812,0.969,0.415,0.694,0.780,0.853,0.265,0.417,0.842,0.610,0.035,0.224,0.152,1.002,0.210,0.664,0.610
0.070,0.877,0.043,0.826,0.760,1.098,-0.205,0.183,-0.318,0.946,-0.031,0.789,0.973,0.312,0.754,0.636,0.911,0.057,0.829,0.347,1.017,-0.359,0.189,0.003,0.963,0.172,0.774,0.483
-0.072,0.953,0.224,0.612,0.961,1.005,-0.136,0.360,-0.163,1.100,-0.153,0.741,0.935,0.238,0.688,0.647,1.032,0.042,0.716,0.588,0.629,0.044,-0.051,0.343,0.655,0.324,0.774,0.445
