0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
-0.007,-0.163,0.086,0.119,-0.275,0.020,-0.330,0.155
0.150,-0.152,0.168,0.247,-0.259,0.051,-0.302,0.230
-0.018,-0.312,0.125,0.068,-0.299,-0.022,-0.363,0.199
-0.058,-0.213,0.172,0.028,-0.444,-0.063,-0.540,0.202
0.095,0.006,0.425,0.245,-0.169,0.057,-0.263,0.461
0.252,0.083,0.379,0.340,-0.247,0.334,-0.073,0.420
0.306,0.145,0.494,0.382,-0.010,0.359,-0.027,0.479
0.438,0.423,0.776,0.640,0.229,0.574,0.250,0.769
0.551,0.388,0.694,0.679,0.202,0.490,0.052,0.739
0.497,0.196,0.643,0.590,0.099,0.454,-0.012,0.747
0.313,0.140,0.509,0.394,-0.053,0.253,-0.091,0.657
0.162,0.015,0.455,0.284,-0.120,0.275,-0.150,0.510
0.412,0.306,0.767,0.614,0.284,0.456,0.079,0.827
0.510,0.336,0.821,0.691,0.247,0.561,0.148,0.808
0.283,0.135,0.370,0.293,-0.074,0.197,-0.169,0.431
0.411,0.209,0.659,0.465,0.102,0.434,-0.049,0.723
0.150,-0.096,0.424,0.273,-0.148,0.224,-0.219,0.463
0.097,-0.100,0.348,0.260,-0.126,0.114,-0.306,0.375
0.058,-0.119,0.207,0.200,-0.113,0.128,-0.336,0.349
-0.060,-0.128,0.159,0.062,-0.146,0.008,-0.327,0.304
-0.181,-0.264,0.211,0.077,-0.358,-0.074,-0.552,0.179
0.024,-0.053,0.154,0.145,-0.187,0.092,-0.357,0.318
0.011,-0.213,0.090,0.195,-0.269,0.048,-0.444,0.191
0.091,-0.192,0.124,0.161,-0.225,0.050,-0.204,0.217
0.373,0.057,0.389,0.438,0.138,0.418,-0.043,0.589
0.156,0.106,0.314,0.193,-0.046,0.286,-0.153,0.525
0.130,0.115,0.472,0.341,-0.004,0.301,-0.068,0.552
0.265,0.030,0.550,0.439,0.040,0.330,-0.044,0.606
0.518,0.407,0.709,0.654,0.211,0.613,0.116,0.821
0.414,0.283,0.590,0.495,0.089,0.450,0.063,0.672
0.602,0.364,0.809,0.644,0.219,0.625,0.140,0.857
0.360,0.126,0.534,0.527,0.078,0.432,0.024,0.606
0.367,0.114,0.638,0.533,-0.031,0.439,0.053,0.664
0.166,-0.022,0.489,0.435,-0.007,0.162,-0.175,0.479
0.330,0.110,0.553,0.526,0.031,0.356,-0.135,0.609
0.088,-0.030,0.304,0.198,-0.227,0.112,-0.377,0.286
-0.058,-0.209,0.202,0.141,-0.387,-0.046,-0.390,0.222
-0.096,-0.364,0.060,-0.001,-0.393,-0.028,-0.508,0.149
0.039,-0.155,0.207,0.175,-0.391,-0.004,-0.407,0.311
0.070,0.042,0.389,0.286,-0.210,0.252,-0.343,0.405
0.271,0.159,0.534,0.436,0.049,0.362,-0.145,0.553
0.355,0.280,0.584,0.503,0.121,0.327,-0.019,0.585
0.483,0.370,0.677,0.700,0.274,0.609,0.046,0.754
0.638,0.439,0.835,0.758,0.237,0.609,0.166,0.886
0.413,0.268,0.701,0.601,0.170,0.510,0.120,0.779
0.090,-0.194,0.370,0.395,-0.131,0.212,-0.294,0.477
0.257,-0.056,0.515,0.435,-0.096,0.297,-0.213,0.417
0.115,-0.185,0.340,0.254,-0.098,0.161,-0.289,0.394
0.361,0.182,0.576,0.550,0.058,0.398,-0.025,0.662
0.338,0.182,0.480,0.461,0.088,0.574,-0.037,0.742
0.321,0.127,0.523,0.531,0.123,0.428,-0.078,0.674
0.065,-0.051,0.341,0.250,-0.061,0.180,-0.254,0.454
0.090,-0.010,0.371,0.377,-0.009,0.268,-0.130,0.436
0.503,0.166,0.582,0.569,0.268,0.600,0.115,0.679
0.505,0.290,0.589,0.646,0.180,0.636,-0.033,0.728
0.747,0.617,0.898,0.852,0.548,0.889,0.323,1.022
0.577,0.487,0.730,0.706,0.351,0.642,0.123,0.891
0.593,0.385,0.856,0.817,0.235,0.647,0.180,0.794
0.742,0.486,0.896,0.842,0.461,0.824,0.171,1.002
0.603,0.322,0.688,0.645,0.224,0.626,0.071,0.825
0.500,0.373,0.815,0.687,0.339,0.625,0.166,0.792
0.373,0.226,0.522,0.515,0.125,0.477,-0.045,0.647
0.098,-0.170,0.181,0.238,-0.255,0.145,-0.272,0.341
0.195,0.103,0.348,0.250,-0.077,0.312,-0.278,0.487
-0.199,-0.290,0.035,-0.095,-0.364,-0.067,-0.492,0.120
-0.008,-0.103,0.213,0.291,-0.195,0.120,-0.341,0.350
-0.005,-0.149,0.188,0.141,-0.233,0.051,-0.425,0.217
-0.134,-0.335,0.155,0.014,-0.403,-0.095,-0.521,0.012
-0.089,-0.382,0.107,-0.086,-0.473,-0.090,-0.464,0.065
-0.231,-0.385,0.060,-0.058,-0.547,-0.189,-0.624,0.018
-0.161,-0.253,0.127,0.001,-0.449,-0.048,-0.572,-0.004
-0.254,-0.383,-0.098,-0.186,-0.572,-0.209,-0.761,-0.129
-0.370,-0.660,-0.199,-0.427,-0.741,-0.367,-1.015,-0.233
-0.424,-0.597,-0.317,-0.344,-0.714,-0.380,-0.994,-0.245
-0.161,-0.445,-0.130,-0.120,-0.510,-0.058,-0.791,-0.022
-0.336,-0.499,-0.195,-0.280,-0.815,-0.357,-0.941,-0.180
-0.498,-0.749,-0.381,-0.461,-0.864,-0.482,-1.000,-0.303
-0.349,-0.512,-0.137,-0.284,-0.761,-0.346,-0.734,-0.165
-0.561,-0.762,-0.433,-0.400,-1.078,-0.560,-0.956,-0.354
-0.507,-0.636,-0.268,-0.309,-0.766,-0.541,-0.883,-0.244
-0.451,-0.633,-0.184,-0.218,-0.692,-0.473,-0.833,-0.139
-0.171,-0.271,0.110,0.099,-0.345,-0.107,-0.573,0.233
0.133,0.207,0.476,0.402,-0.112,0.304,-0.306,0.491
0.332,0.156,0.443,0.549,-0.097,0.317,-0.224,0.482
0.409,0.418,0.632,0.666,0.277,0.483,0.008,0.643
0.214,0.212,0.567,0.526,0.157,0.338,-0.114,0.561
0.379,0.261,0.692,0.622,0.241,0.518,0.014,0.796
0.271,0.185,0.522,0.435,0.039,0.356,-0.081,0.596
0.428,0.350,0.604,0.648,0.112,0.422,0.043,0.700
0.453,0.416,0.692,0.668,0.175,0.519,0.194,0.788
0.332,0.222,0.702,0.662,0.137,0.504,0.089,0.644
0.293,0.280,0.626,0.528,0.145,0.499,-0.147,0.562
0.038,0.000,0.408,0.353,-0.195,0.252,-0.262,0.372
0.200,0.076,0.493,0.423,-0.103,0.202,-0.176,0.401
