0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036
0.592,-0.051,0.701,0.070,0.510,0.412,0.158,0.076,0.080,0.520,0.023,0.791,-0.100,0.686,0.018,0.547,0.160,0.286,0.322,0.494,0.381,-0.194,0.800,0.119,0.578,0.196,0.373,0.429
0.893,0.162,0.697,0.115,0.522,0.768,0.200,0.197,0.313,0.559,0.134,0.696,0.341,0.358,0.361,0.495,0.734,0.119,0.204,0.758,0.270,-0.020,0.813,-0.172,0.931,0.153,0.373,0.463
0.723,0.323,0.546,0.315,0.348,0.809,0.112,0.030,0.636,0.066,0.395,0.267,0.803,0.100,0.631,0.270,1.031,-0.040,0.188,1.082,0.158,0.156,0.781,-0.045,0.896,0.309,0.387,0.677
0.625,0.526,0.546,0.484,0.286,1.005,-0.129,0.184,0.539,0.280,0.129,0.460,0.642,0.169,0.732,0.373,0.702,0.242,0.193,1.131,0.228,0.063,0.781,0.066,0.862,0.378,0.161,0.677
0.868,0.360,0.718,0.366,0.603,0.819,0.120,-0.016,0.624,-0.113,0.253,0.307,0.891,0.090,0.514,0.541,0.701,0.302,0.207,1.056,0.352,0.188,0.446,0.202,0.950,0.287,0.295,0.347
0.796,0.391,0.495,0.460,0.604,0.672,0.180,-0.068,0.632,-0.108,0.326,0.173,1.025,0.081,0.889,0.382,0.887,0.107,0.363,0.999,0.324,0.296,0.467,0.417,0.753,0.642,0.104,0.692
0.814,0.469,0.450,0.334,0.789,0.656,0.303,-0.281,0.371,0.061,0.431,0.334,0.955,0.170,0.998,0.358,1.002,0.109,0.031,1.141,0.328,0.160,0.642,0.305,0.806,0.730,0.219,0.761
0.637,0.448,0.384,0.452,0.683,0.834,0.154,-0.020,0.164,0.367,0.669,0.295,0.944,0.170,0.996,0.348,0.975,0.110,0.227,0.950,0.590,0.043,0.834,-0.055,0.976,0.642,0.204,0.795
0.518,0.528,0.415,0.526,0.452,0.843,0.333,-0.245,0.326,0.230,0.723,0.133,1.227,0.030,1.105,0.290,1.119,-0.057,0.019,1.226,0.258,0.368,0.565,0.118,0.801,0.736,0.068,0.861
0.580,0.473,0.436,0.474,0.444,0.989,0.244,-0.158,0.196,0.440,0.509,0.144,1.156,0.014,1.102,0.203,1.385,-0.211,0.290,1.002,0.290,0.247,0.830,-0.095,0.838,0.548,0.318,0.797
0.272,0.832,0.066,0.678,0.177,1.111,-0.017,-0.022,-0.019,0.633,0.433,0.465,0.751,0.471,0.669,0.516,1.102,0.107,0.162,0.954,0.254,0.219,0.857,0.112,0.756,0.615,0.191,0.894
0.440,0.728,0.389,0.489,0.374,1.141,-0.056,0.064,0.067,0.335,0.879,0.241,1.037,0.056,0.866,0.477,1.175,0.042,0.110,1.123,-0.041,0.384,0.773,0.011,0.911,0.418,0.233,0.688
0.460,0.648,0.409,0.511,0.326,1.098,-0.005,0.129,-0.222,0.756,0.457,0.694,0.841,0.261,0.801,0.434,1.135,0.023,0.309,0.953,0.055,0.362,0.927,-0.162,1.055,0.295,0.282,0.645
0.440,0.743,0.434,0.646,0.431,0.911,0.063,-0.108,-0.173,0.758,0.488,0.664,0.998,0.122,0.745,0.608,0.837,0.354,0.144,0.890,0.160,0.271,0.824,-0.158,1.181,0.165,0.529,0.739
