0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
0.110,0.001,0.240,0.426,-0.114,0.141,-0.416,0.274,0.011,-0.224,0.101,-0.013,-0.188,0.449,-0.565,-0.252,-0.322,-0.156,-0.121
0.009,0.018,0.297,0.440,-0.241,0.279,-0.353,0.226,-0.008,-0.100,-0.129,0.069,-0.242,0.578,-0.523,-0.491,-0.384,-0.172,-0.237
-0.090,-0.098,0.149,0.252,-0.562,-0.004,-0.649,0.134,0.023,-0.003,-0.167,-0.169,-0.360,0.303,-0.741,-0.498,-0.431,-0.483,-0.573
-0.309,-0.073,0.065,0.190,-0.532,0.045,-0.470,0.133,-0.154,-0.060,-0.169,-0.274,-0.201,0.242,-0.696,-0.370,-0.517,-0.356,-0.612
-0.097,-0.204,0.141,0.137,-0.473,-0.078,-0.418,0.088,-0.365,-0.128,-0.134,-0.351,-0.387,0.122,-0.786,-0.685,-0.698,-0.415,-0.525
-0.317,-0.236,-0.068,0.152,-0.481,-0.174,-0.721,-0.133,-0.115,-0.206,-0.165,-0.241,-0.452,0.088,-0.794,-0.605,-0.856,-0.408,-0.679
-0.121,0.039,0.229,0.421,-0.296,0.185,-0.099,0.114,0.050,-0.060,0.047,0.016,-0.132,0.544,-0.511,-0.434,-0.280,-0.342,-0.502
0.051,-0.133,0.199,0.367,-0.233,0.098,-0.344,0.170,0.106,-0.109,0.031,-0.109,-0.115,0.419,-0.613,-0.436,-0.403,-0.327,-0.445
-0.029,-0.120,0.212,0.351,-0.374,0.103,-0.150,0.095,0.078,0.027,0.280,0.062,-0.137,0.426,-0.714,-0.338,-0.425,-0.125,-0.213
0.077,0.072,0.183,0.312,-0.181,0.292,-0.333,0.311,0.177,-0.071,-0.005,0.002,-0.151,0.418,-0.636,-0.253,-0.345,-0.018,-0.216
0.091,0.161,0.267,0.305,-0.176,0.342,-0.519,0.336,0.282,0.112,0.224,0.190,0.005,0.463,-0.706,-0.251,-0.424,-0.258,-0.337
0.048,-0.083,0.377,0.334,-0.340,0.101,-0.433,0.155,-0.083,0.067,0.117,0.026,-0.212,0.387,-0.582,-0.294,-0.588,-0.193,-0.455
0.085,0.097,0.297,0.280,-0.209,0.184,-0.510,0.262,0.045,0.018,-0.063,-0.044,-0.100,0.484,-0.597,-0.246,-0.728,-0.274,-0.397
0.051,0.179,0.442,0.521,-0.186,0.160,-0.305,0.462,0.061,0.083,0.101,-0.009,-0.040,0.607,-0.795,-0.229,-0.221,-0.107,-0.318
-0.097,0.074,0.123,0.409,-0.260,0.303,-0.256,0.425,0.137,-0.162,0.037,0.107,0.026,0.374,-0.828,-0.226,-0.372,-0.173,-0.296
-0.012,0.133,0.136,0.320,-0.432,0.128,-0.446,0.317,0.062,-0.168,0.101,0.074,-0.226,0.268,-0.639,-0.359,-0.425,-0.503,-0.297
-0.079,0.181,0.041,0.408,-0.153,0.189,-0.163,0.402,0.047,0.059,0.108,0.178,-0.023,0.491,-0.518,-0.305,-0.290,-0.159,-0.249
-0.024,0.066,0.364,0.366,-0.137,0.338,-0.188,0.460,0.383,0.075,0.010,0.268,-0.031,0.523,-0.694,-0.187,-0.127,-0.058,-0.273
0.014,0.187,0.412,0.366,-0.258,0.121,-0.319,0.362,0.273,0.122,0.099,0.100,-0.117,0.560,-0.477,-0.466,-0.259,-0.108,-0.394
0.156,0.145,0.317,0.440,-0.157,0.134,-0.116,0.340,0.139,0.312,0.010,0.103,-0.154,0.526,-0.466,-0.311,-0.269,-0.178,-0.298
0.001,0.097,0.330,0.275,-0.297,0.240,-0.291,0.436,-0.022,0.189,-0.025,0.105,-0.182,0.445,-0.592,-0.089,-0.356,-0.214,-0.286
0.093,0.085,0.385,0.332,-0.199,0.260,-0.288,0.430,0.168,0.021,0.194,0.011,-0.016,0.487,-0.628,0.031,-0.202,-0.178,-0.396
-0.024,-0.006,0.370,0.309,-0.193,0.229,-0.345,0.287,0.148,-0.176,-0.042,0.160,-0.140,0.570,-0.344,-0.309,-0.190,-0.179,-0.543
-0.249,-0.172,0.058,0.118,-0.255,-0.082,-0.585,0.030,-0.113,-0.068,-0.170,-0.043,-0.368,0.217,-0.800,-0.611,-0.584,-0.429,-0.724
-0.206,-0.204,-0.156,0.148,-0.409,0.061,-0.481,0.057,-0.177,-0.114,-0.225,-0.198,-0.495,0.255,-0.786,-0.404,-0.639,-0.622,-0.908
-0.049,-0.027,0.124,0.287,-0.248,0.113,-0.479,0.214,-0.196,-0.009,-0.152,-0.122,-0.308,0.309,-0.623,-0.402,-0.425,-0.184,-0.547
0.078,0.211,0.280,0.282,-0.222,0.088,-0.200,0.405,0.102,0.011,-0.078,-0.017,-0.074,0.538,-0.619,-0.127,-0.400,-0.117,-0.464
0.039,-0.010,0.184,0.391,-0.230,0.318,-0.274,0.217,0.096,0.004,-0.083,0.112,-0.045,0.542,-0.707,-0.295,-0.351,0.045,-0.377
-0.133,-0.020,0.189,0.290,-0.579,0.009,-0.503,0.091,-0.015,-0.183,0.062,0.103,-0.359,0.229,-0.692,-0.322,-0.544,-0.278,-0.499
-0.110,-0.037,0.088,0.281,-0.498,-0.106,-0.448,0.131,0.017,-0.022,0.005,0.024,-0.340,0.322,-0.646,-0.499,-0.688,-0.305,-0.522
0.060,0.033,0.359,0.336,-0.278,0.099,-0.346,0.327,0.276,0.052,0.066,-0.015,-0.098,0.517,-0.389,-0.388,-0.443,-0.121,-0.224
-0.144,-0.190,0.065,0.116,-0.392,-0.074,-0.643,0.093,-0.022,-0.132,-0.140,-0.138,-0.354,0.239,-0.884,-0.719,-0.646,-0.548,-0.750
-0.197,-0.312,-0.077,0.132,-0.500,-0.125,-0.483,0.014,-0.178,-0.126,-0.180,-0.233,-0.370,0.121,-0.828,-0.548,-0.641,-0.530,-0.655
-0.170,-0.239,0.148,0.215,-0.334,0.012,-0.365,0.152,-0.160,-0.124,-0.171,-0.130,-0.256,0.271,-0.754,-0.472,-0.557,-0.386,-0.657
-0.304,-0.368,0.161,0.090,-0.476,-0.193,-0.732,0.083,-0.143,-0.183,-0.256,-0.173,-0.325,0.297,-0.653,-0.342,-0.887,-0.397,-0.406
-0.069,-0.079,0.072,0.173,-0.402,0.036,-0.428,0.202,-0.064,-0.132,0.025,-0.174,-0.282,0.228,-0.847,-0.382,-0.525,-0.435,-0.382
-0.125,-0.142,0.122,-0.033,-0.498,-0.164,-0.643,0.131,-0.082,-0.253,-0.136,-0.265,-0.368,0.213,-0.824,-0.438,-0.696,-0.355,-0.414
-0.222,-0.360,-0.016,0.035,-0.418,-0.221,-0.679,-0.027,-0.396,-0.253,-0.427,-0.260,-0.477,0.001,-0.910,-0.543,-0.657,-0.412,-0.736
