0.167,0.167,0.167,0.167,0.167,0.167
0.182,0.186,0.161,0.160,0.177,0.162
0.214,0.209,0.176,0.154,0.201,0.154
0.231,0.185,0.196,0.130,0.253,0.165
0.252,0.200,0.191,0.158,0.217,0.202
0.275,0.211,0.198,0.156,0.261,0.205
0.271,0.192,0.218,0.125,0.286,0.159
0.268,0.198,0.211,0.159,0.335,0.154
0.288,0.209,0.201,0.166,0.342,0.163
0.325,0.199,0.223,0.185,0.335,0.191
0.322,0.205,0.200,0.230,0.304,0.230
0.316,0.216,0.207,0.259,0.313,0.238
0.332,0.233,0.210,0.290,0.315,0.266
0.377,0.196,0.219,0.273,0.311,0.305
0.401,0.188,0.237,0.256,0.346,0.298
0.429,0.155,0.244,0.246,0.367,0.278
0.441,0.139,0.280,0.210,0.431,0.219
0.439,0.150,0.283,0.191,0.483,0.200
0.431,0.176,0.254,0.207,0.487,0.213
0.414,0.198,0.260,0.221,0.469,0.235
0.429,0.209,0.209,0.251,0.439,0.270
0.432,0.213,0.258,0.201,0.490,0.233
0.426,0.228,0.248,0.199,0.511,0.212
0.431,0.256,0.236,0.249,0.452,0.270
0.465,0.212,0.279,0.221,0.502,0.227
0.490,0.203,0.312,0.198,0.530,0.200
0.478,0.215,0.320,0.204,0.526,0.206
0.476,0.231,0.294,0.224,0.525,0.189
0.473,0.232,0.301,0.238,0.534,0.185
0.493,0.207,0.334,0.230,0.558,0.187
0.497,0.204,0.329,0.252,0.547,0.189
0.497,0.214,0.310,0.288,0.516,0.240
0.495,0.190,0.339,0.278,0.555,0.224
0.499,0.214,0.334,0.304,0.549,0.230
0.493,0.229,0.347,0.301,0.563,0.240
0.479,0.239,0.341,0.324,0.558,0.254
0.492,0.243,0.343,0.320,0.554,0.269
0.503,0.249,0.331,0.369,0.505,0.327
0.523,0.248,0.302,0.428,0.480,0.367
0.524,0.274,0.282,0.457,0.468,0.399
0.562,0.245,0.337,0.422,0.515,0.356
0.577,0.230,0.356,0.407,0.530,0.348
0.568,0.247,0.346,0.407,0.493,0.388
0.582,0.241,0.367,0.408,0.504,0.370
0.590,0.237,0.375,0.404,0.527,0.338
0.613,0.225,0.425,0.356,0.571,0.317
0.601,0.241,0.432,0.355,0.587,0.288
0.581,0.253,0.420,0.347,0.602,0.274
0.573,0.263,0.418,0.375,0.573,0.304
0.593,0.215,0.469,0.313,0.634,0.247
0.587,0.244,0.449,0.327,0.613,0.259
0.598,0.237,0.436,0.368,0.568,0.326
0.585,0.223,0.467,0.372,0.568,0.328
0.585,0.224,0.495,0.375,0.574,0.351
0.615,0.197,0.512,0.349,0.604,0.330
0.619,0.191,0.533,0.293,0.664,0.263
0.614,0.178,0.546,0.249,0.744,0.194
0.640,0.154,0.594,0.211,0.774,0.173
0.664,0.126,0.628,0.179,0.803,0.156
0.685,0.128,0.621,0.195,0.780,0.209
0.683,0.132,0.621,0.172,0.793,0.191
0.683,0.125,0.653,0.144,0.830,0.154
0.689,0.113,0.652,0.153,0.822,0.164
0.697,0.140,0.646,0.149,0.837,0.152
0.694,0.137,0.663,0.127,0.870,0.113
0.676,0.156,0.655,0.146,0.845,0.135
0.667,0.188,0.624,0.178,0.816,0.160
0.667,0.174,0.629,0.180,0.833,0.155
0.653,0.205,0.622,0.174,0.850,0.154
0.641,0.216,0.583,0.205,0.825,0.177
0.670,0.199,0.594,0.203,0.831,0.173
0.672,0.174,0.603,0.233,0.826,0.176
0.656,0.172,0.605,0.241,0.838,0.173
0.676,0.164,0.602,0.255,0.828,0.167
0.699,0.161,0.606,0.251,0.828,0.158
0.692,0.173,0.613,0.250,0.814,0.178
0.635,0.231,0.538,0.341,0.724,0.288
0.632,0.217,0.547,0.347,0.747,0.267
0.657,0.201,0.579,0.359,0.702,0.331
0.668,0.190,0.574,0.388,0.653,0.390
0.680,0.191,0.592,0.376,0.663,0.411
0.688,0.195,0.594,0.376,0.658,0.420
0.688,0.210,0.588,0.399,0.640,0.442
0.674,0.217,0.572,0.392,0.631,0.464
0.677,0.208,0.576,0.385,0.626,0.478
0.683,0.213,0.571,0.391,0.621,0.457
0.690,0.221,0.584,0.385,0.621,0.469
0.661,0.254,0.550,0.393,0.618,0.475
0.682,0.229,0.584,0.375,0.634,0.458
0.655,0.258,0.540,0.414,0.601,0.481
0.657,0.263,0.544,0.399,0.616,0.486
0.613,0.320,0.479,0.441,0.592,0.512
0.622,0.311,0.480,0.431,0.616,0.488
0.658,0.282,0.511,0.405,0.655,0.444
0.627,0.286,0.507,0.393,0.677,0.424
0.593,0.324,0.472,0.427,0.649,0.450
0.603,0.306,0.503,0.423,0.679,0.425
0.599,0.306,0.502,0.444,0.672,0.437
0.602,0.295,0.531,0.405,0.710,0.398
0.587,0.329,0.488,0.464,0.654,0.472
0.564,0.354,0.476,0.483,0.626,0.497
0.586,0.347,0.481,0.476,0.634,0.492
0.588,0.345,0.486,0.455,0.663,0.475
0.537,0.385,0.455,0.480,0.635,0.498
0.559,0.375,0.471,0.468,0.653,0.487
0.580,0.353,0.470,0.453,0.691,0.437
