0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
0.038,0.038,0.062,0.053,0.039,0.052,0.026,0.061,0.034,0.030,0.031,0.037,0.038,0.057,0.029,0.028,0.030,0.040,0.028,0.049,0.042,0.035,0.029,0.062,0.031
0.044,0.032,0.059,0.060,0.044,0.049,0.030,0.063,0.033,0.026,0.027,0.040,0.038,0.057,0.029,0.028,0.033,0.038,0.023,0.052,0.039,0.034,0.024,0.071,0.027
0.039,0.033,0.059,0.062,0.036,0.042,0.030,0.071,0.035,0.029,0.033,0.041,0.038,0.055,0.031,0.024,0.032,0.047,0.028,0.048,0.039,0.036,0.024,0.060,0.026
0.042,0.038,0.054,0.067,0.032,0.048,0.029,0.060,0.034,0.027,0.032,0.036,0.043,0.056,0.027,0.028,0.034,0.041,0.028,0.049,0.045,0.043,0.025,0.057,0.026
0.048,0.033,0.057,0.057,0.033,0.050,0.033,0.065,0.033,0.037,0.031,0.035,0.035,0.065,0.032,0.025,0.028,0.042,0.032,0.047,0.039,0.035,0.022,0.060,0.027
0.038,0.037,0.054,0.062,0.034,0.046,0.034,0.056,0.038,0.035,0.030,0.036,0.031,0.057,0.025,0.023,0.032,0.036,0.031,0.048,0.050,0.042,0.025,0.071,0.029
0.039,0.032,0.058,0.055,0.037,0.048,0.028,0.063,0.036,0.029,0.029,0.036,0.030,0.062,0.023,0.025,0.031,0.041,0.031,0.042,0.046,0.046,0.026,0.075,0.032
0.037,0.037,0.059,0.067,0.032,0.048,0.038,0.062,0.037,0.029,0.029,0.036,0.031,0.060,0.024,0.034,0.027,0.040,0.027,0.052,0.042,0.035,0.024,0.067,0.027
0.044,0.036,0.052,0.062,0.030,0.047,0.033,0.078,0.040,0.030,0.028,0.036,0.032,0.057,0.025,0.030,0.029,0.035,0.030,0.049,0.037,0.039,0.026,0.066,0.028
0.037,0.030,0.054,0.062,0.036,0.052,0.030,0.056,0.032,0.038,0.027,0.035,0.036,0.050,0.024,0.028,0.045,0.038,0.034,0.051,0.041,0.044,0.026,0.064,0.029
0.039,0.036,0.057,0.055,0.035,0.051,0.028,0.065,0.040,0.027,0.029,0.037,0.041,0.056,0.027,0.028,0.038,0.042,0.028,0.039,0.037,0.038,0.025,0.069,0.032
0.033,0.036,0.058,0.064,0.034,0.047,0.024,0.063,0.036,0.030,0.023,0.041,0.046,0.057,0.025,0.022,0.035,0.051,0.031,0.054,0.034,0.038,0.029,0.064,0.024
0.034,0.030,0.057,0.068,0.033,0.050,0.030,0.061,0.035,0.029,0.029,0.040,0.041,0.059,0.030,0.025,0.029,0.044,0.031,0.053,0.037,0.041,0.025,0.060,0.029
0.031,0.035,0.059,0.056,0.035,0.051,0.032,0.067,0.028,0.034,0.030,0.039,0.035,0.063,0.032,0.030,0.039,0.045,0.024,0.044,0.038,0.038,0.023,0.064,0.028
0.033,0.033,0.057,0.048,0.039,0.047,0.025,0.065,0.034,0.033,0.031,0.044,0.042,0.066,0.031,0.023,0.035,0.043,0.024,0.039,0.041,0.036,0.026,0.069,0.037
0.044,0.040,0.056,0.061,0.036,0.048,0.029,0.071,0.030,0.029,0.024,0.031,0.044,0.058,0.033,0.026,0.031,0.041,0.025,0.046,0.036,0.043,0.028,0.061,0.029
0.038,0.034,0.060,0.053,0.037,0.057,0.031,0.068,0.031,0.031,0.032,0.041,0.038,0.058,0.026,0.028,0.030,0.038,0.024,0.051,0.035,0.045,0.030,0.059,0.024
