0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
0.040,0.035,0.052,0.067,0.031,0.045,0.032,0.063,0.036,0.030,0.034,0.036,0.037,0.050,0.031,0.036,0.028,0.035,0.034,0.044,0.041,0.037,0.029,0.062,0.034
0.044,0.038,0.052,0.068,0.032,0.045,0.030,0.066,0.036,0.038,0.026,0.037,0.038,0.057,0.031,0.029,0.031,0.037,0.031,0.043,0.034,0.041,0.025,0.066,0.027
0.042,0.037,0.061,0.064,0.034,0.046,0.030,0.065,0.030,0.040,0.032,0.033,0.033,0.062,0.032,0.023,0.028,0.039,0.025,0.048,0.031,0.042,0.026,0.065,0.030
0.043,0.036,0.050,0.061,0.038,0.050,0.025,0.070,0.035,0.036,0.032,0.037,0.040,0.054,0.030,0.024,0.027,0.041,0.031,0.049,0.034,0.034,0.028,0.061,0.032
0.049,0.034,0.050,0.070,0.042,0.046,0.034,0.065,0.030,0.029,0.033,0.034,0.033,0.054,0.028,0.025,0.034,0.040,0.028,0.045,0.033,0.038,0.034,0.060,0.032
0.044,0.046,0.060,0.069,0.032,0.042,0.027,0.063,0.029,0.030,0.028,0.038,0.035,0.058,0.029,0.028,0.031,0.045,0.024,0.042,0.037,0.041,0.025,0.062,0.035
0.042,0.041,0.049,0.067,0.034,0.043,0.029,0.063,0.035,0.029,0.026,0.032,0.032,0.062,0.027,0.025,0.031,0.046,0.036,0.050,0.035,0.045,0.027,0.067,0.027
0.044,0.035,0.053,0.061,0.036,0.046,0.029,0.055,0.035,0.027,0.029,0.038,0.031,0.055,0.032,0.026,0.026,0.041,0.029,0.053,0.036,0.041,0.025,0.077,0.036
0.046,0.040,0.056,0.064,0.025,0.042,0.029,0.067,0.030,0.037,0.036,0.035,0.034,0.056,0.025,0.024,0.027,0.040,0.032,0.053,0.041,0.039,0.020,0.071,0.030
0.043,0.037,0.059,0.067,0.033,0.045,0.031,0.055,0.032,0.034,0.023,0.038,0.036,0.058,0.025,0.033,0.033,0.041,0.025,0.046,0.038,0.040,0.027,0.062,0.038
0.041,0.037,0.057,0.059,0.038,0.045,0.024,0.069,0.027,0.030,0.026,0.035,0.038,0.051,0.027,0.035,0.031,0.045,0.027,0.053,0.033,0.037,0.023,0.069,0.041
0.044,0.039,0.054,0.054,0.032,0.045,0.029,0.066,0.034,0.032,0.031,0.034,0.043,0.064,0.028,0.032,0.031,0.044,0.031,0.041,0.031,0.040,0.021,0.064,0.035
0.041,0.036,0.058,0.056,0.037,0.046,0.030,0.064,0.029,0.039,0.024,0.037,0.035,0.061,0.028,0.029,0.037,0.039,0.035,0.044,0.036,0.039,0.027,0.056,0.039
0.042,0.046,0.053,0.051,0.037,0.043,0.026,0.065,0.030,0.036,0.030,0.044,0.039,0.050,0.026,0.027,0.032,0.038,0.030,0.045,0.040,0.042,0.025,0.073,0.032
0.041,0.035,0.059,0.058,0.037,0.047,0.027,0.064,0.031,0.038,0.032,0.032,0.037,0.056,0.028,0.025,0.026,0.039,0.033,0.048,0.034,0.042,0.026,0.069,0.035
0.043,0.039,0.057,0.064,0.037,0.042,0.027,0.065,0.026,0.029,0.030,0.035,0.043,0.057,0.028,0.026,0.027,0.040,0.031,0.044,0.039,0.043,0.027,0.068,0.032
0.046,0.043,0.055,0.053,0.030,0.046,0.033,0.067,0.030,0.035,0.035,0.039,0.039,0.060,0.025,0.028,0.028,0.045,0.026,0.051,0.040,0.036,0.025,0.056,0.028
0.046,0.034,0.068,0.064,0.042,0.048,0.030,0.069,0.027,0.027,0.035,0.034,0.035,0.057,0.030,0.023,0.025,0.040,0.026,0.051,0.037,0.037,0.029,0.053,0.033
0.046,0.037,0.059,0.066,0.039,0.053,0.025,0.063,0.031,0.032,0.030,0.038,0.040,0.054,0.031,0.028,0.027,0.033,0.026,0.050,0.028,0.037,0.032,0.060,0.033
0.046,0.042,0.064,0.060,0.038,0.048,0.025,0.065,0.036,0.034,0.034,0.038,0.033,0.058,0.029,0.024,0.025,0.040,0.023,0.045,0.032,0.041,0.028,0.061,0.032
0.041,0.040,0.056,0.055,0.038,0.039,0.027,0.058,0.036,0.036,0.032,0.039,0.034,0.055,0.031,0.030,0.032,0.036,0.025,0.047,0.043,0.042,0.023,0.073,0.032
0.044,0.045,0.057,0.058,0.038,0.041,0.024,0.061,0.034,0.031,0.032,0.041,0.035,0.051,0.029,0.027,0.027,0.039,0.027,0.051,0.041,0.040,0.028,0.071,0.030
0.041,0.041,0.046,0.058,0.030,0.041,0.028,0.064,0.036,0.028,0.028,0.036,0.042,0.065,0.025,0.025,0.032,0.045,0.029,0.047,0.039,0.038,0.031,0.073,0.033
0.041,0.040,0.054,0.064,0.038,0.045,0.026,0.066,0.033,0.034,0.038,0.036,0.038,0.053,0.030,0.026,0.029,0.043,0.023,0.041,0.035,0.040,0.031,0.062,0.037
0.044,0.032,0.054,0.061,0.036,0.051,0.026,0.058,0.032,0.030,0.033,0.042,0.035,0.051,0.030,0.026,0.029,0.037,0.029,0.053,0.035,0.049,0.027,0.068,0.032
0.045,0.042,0.054,0.052,0.034,0.048,0.028,0.070,0.037,0.032,0.034,0.033,0.037,0.054,0.029,0.026,0.028,0.039,0.022,0.043,0.039,0.046,0.028,0.066,0.033
0.041,0.033,0.053,0.059,0.039,0.049,0.036,0.069,0.035,0.028,0.030,0.038,0.038,0.055,0.028,0.024,0.027,0.042,0.028,0.045,0.034,0.043,0.027,0.065,0.033
0.037,0.039,0.053,0.058,0.039,0.047,0.033,0.061,0.035,0.034,0.038,0.038,0.037,0.057,0.027,0.025,0.029,0.040,0.025,0.042,0.032,0.043,0.032,0.062,0.036
0.038,0.035,0.057,0.060,0.037,0.043,0.029,0.064,0.031,0.031,0.037,0.036,0.041,0.057,0.027,0.029,0.032,0.035,0.029,0.044,0.038,0.040,0.029,0.061,0.040
0.032,0.034,0.058,0.063,0.044,0.047,0.029,0.069,0.031,0.036,0.036,0.033,0.039,0.052,0.025,0.029,0.032,0.035,0.033,0.048,0.038,0.037,0.029,0.058,0.031
0.042,0.037,0.049,0.063,0.047,0.045,0.026,0.064,0.031,0.040,0.031,0.032,0.040,0.060,0.025,0.026,0.026,0.040,0.032,0.046,0.035,0.040,0.027,0.062,0.030
0.039,0.044,0.051,0.065,0.036,0.044,0.035,0.067,0.030,0.035,0.028,0.033,0.039,0.064,0.027,0.024,0.027,0.038,0.033,0.045,0.038,0.038,0.030,0.065,0.025
0.050,0.036,0.056,0.057,0.041,0.043,0.029,0.058,0.028,0.033,0.033,0.036,0.040,0.055,0.027,0.026,0.029,0.038,0.033,0.048,0.043,0.046,0.027,0.064,0.024
0.047,0.044,0.057,0.064,0.036,0.047,0.026,0.060,0.030,0.037,0.026,0.030,0.032,0.060,0.030,0.023,0.029,0.039,0.028,0.052,0.044,0.042,0.025,0.065,0.026
0.044,0.040,0.057,0.056,0.036,0.053,0.023,0.060,0.031,0.032,0.032,0.037,0.038,0.055,0.032,0.022,0.029,0.040,0.031,0.042,0.041,0.046,0.030,0.065,0.025
0.041,0.038,0.055,0.064,0.034,0.049,0.022,0.058,0.037,0.031,0.032,0.033,0.032,0.058,0.031,0.026,0.031,0.041,0.033,0.048,0.039,0.042,0.029,0.068,0.029
0.042,0.029,0.055,0.053,0.034,0.046,0.028,0.066,0.036,0.030,0.029,0.039,0.040,0.059,0.035,0.024,0.032,0.035,0.033,0.051,0.035,0.044,0.024,0.069,0.033
0.044,0.036,0.051,0.051,0.039,0.043,0.032,0.062,0.030,0.028,0.026,0.040,0.045,0.057,0.031,0.027,0.026,0.035,0.032,0.047,0.040,0.044,0.028,0.074,0.033
0.040,0.036,0.057,0.054,0.036,0.038,0.029,0.059,0.034,0.033,0.034,0.032,0.037,0.059,0.033,0.033,0.025,0.044,0.031,0.048,0.032,0.038,0.032,0.075,0.030
0.045,0.037,0.061,0.053,0.038,0.044,0.031,0.061,0.032,0.033,0.034,0.033,0.032,0.067,0.028,0.026,0.030,0.039,0.029,0.044,0.035,0.039,0.031,0.064,0.032
0.040,0.035,0.060,0.058,0.042,0.040,0.027,0.059,0.040,0.033,0.033,0.034,0.035,0.064,0.026,0.024,0.026,0.041,0.030,0.045,0.032,0.042,0.029,0.069,0.035
0.046,0.043,0.057,0.060,0.041,0.044,0.027,0.061,0.032,0.031,0.033,0.029,0.038,0.067,0.025,0.032,0.027,0.035,0.030,0.043,0.036,0.036,0.030,0.061,0.036
0.040,0.041,0.049,0.057,0.038,0.042,0.036,0.058,0.031,0.035,0.036,0.038,0.041,0.058,0.032,0.029,0.024,0.046,0.024,0.050,0.033,0.034,0.030,0.069,0.027
