0.250,0.250,0.250,0.250
0.901,0.888,1.234,1.249
0.533,0.592,0.950,0.892
0.083,0.036,0.459,0.353
-0.142,-0.123,0.340,0.222
0.247,0.207,0.646,0.590
-0.112,-0.179,0.237,0.225
-0.284,-0.311,0.002,0.022
-0.184,-0.080,0.315,0.228
0.530,0.492,0.895,0.841
0.485,0.436,0.911,0.882
0.807,0.721,1.046,1.030
0.925,0.788,1.206,1.173
0.501,0.374,0.757,0.829
0.693,0.637,0.959,0.924
0.742,0.753,1.128,1.090
0.821,0.698,1.216,1.172
0.384,0.332,0.771,0.742
0.139,0.216,0.558,0.505
0.157,0.198,0.649,0.515
-0.109,-0.045,0.303,0.351
-0.005,0.010,0.388,0.405
-0.357,-0.315,0.097,0.085
-0.108,-0.174,0.273,0.195
-0.400,-0.381,-0.054,-0.027
-0.650,-0.568,-0.219,-0.255
-0.294,-0.241,0.029,0.129
0.158,0.137,0.516,0.547
0.060,-0.046,0.323,0.359
-0.093,-0.071,0.237,0.215
0.174,0.202,0.539,0.517
0.143,0.180,0.611,0.544
-0.128,-0.131,0.356,0.302
-0.140,-0.089,0.259,0.274
0.219,0.141,0.589,0.557
-0.051,-0.092,0.280,0.247
-0.173,-0.286,0.156,0.099
-0.756,-0.782,-0.426,-0.459
-0.696,-0.750,-0.350,-0.389
-0.582,-0.614,-0.196,-0.248
-0.750,-0.702,-0.298,-0.316
-0.696,-0.874,-0.399,-0.384
-0.879,-0.926,-0.505,-0.519
-1.006,-1.096,-0.645,-0.645
-0.782,-0.835,-0.378,-0.394
-0.807,-0.975,-0.458,-0.563
-0.533,-0.615,-0.198,-0.292
-0.384,-0.451,-0.030,-0.202
0.066,0.007,0.408,0.385
-0.076,-0.082,0.370,0.316
-0.202,-0.143,0.214,0.206
0.090,0.022,0.490,0.470
-0.096,-0.128,0.261,0.245
0.052,0.117,0.430,0.435
0.195,0.085,0.545,0.578
-0.279,-0.388,0.021,0.072
-0.414,-0.477,-0.141,-0.070
-0.309,-0.334,0.085,0.093
0.112,0.067,0.427,0.436
0.277,0.140,0.563,0.547
