0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
0.667,0.069,0.560,0.346,0.404,0.229,0.517,0.049,0.633,-0.117
0.618,0.246,0.534,0.551,0.403,0.399,0.436,0.302,0.542,0.121
0.710,0.238,0.759,0.352,0.622,0.186,0.751,0.164,0.794,0.026
0.738,0.327,0.782,0.528,0.565,0.323,0.607,0.382,0.749,0.024
0.924,0.106,0.938,0.539,0.452,0.525,0.481,0.357,0.886,-0.149
0.996,-0.014,1.028,0.358,0.743,0.317,0.598,0.225,1.115,-0.547
0.999,0.004,1.045,0.433,0.624,0.570,0.324,0.549,0.727,-0.206
0.988,0.125,1.019,0.401,0.512,0.690,0.139,0.778,0.460,0.122
1.089,0.062,1.024,0.446,0.523,0.729,0.017,0.991,0.312,0.321
1.183,0.077,1.067,0.393,0.538,0.635,0.089,0.863,0.404,0.392
1.065,0.251,0.946,0.568,0.414,0.793,0.077,0.772,0.406,0.146
1.111,0.197,0.858,0.685,0.405,0.784,0.079,0.830,0.373,0.186
1.036,0.300,0.722,0.818,0.303,0.884,-0.005,1.005,0.236,0.461
0.919,0.391,0.557,1.091,0.071,1.055,-0.070,1.079,0.066,0.716
0.792,0.384,0.576,0.969,0.158,1.052,-0.039,1.074,0.153,0.559
0.759,0.361,0.713,0.851,0.297,0.900,0.071,0.954,0.245,0.416
0.662,0.465,0.588,0.912,0.211,0.908,0.107,1.021,0.085,0.407
0.728,0.535,0.664,0.904,0.179,0.911,0.205,0.912,0.072,0.678
0.698,0.418,0.770,0.820,0.220,0.950,0.340,0.805,0.270,0.517
0.755,0.337,0.748,0.888,0.236,0.999,0.151,1.025,0.054,0.670
0.927,0.239,0.881,0.734,0.316,0.901,0.145,0.988,0.146,0.530
0.766,0.358,0.864,0.674,0.220,1.095,-0.156,1.273,-0.209,0.852
0.818,0.381,0.819,0.830,0.072,1.227,-0.237,1.260,-0.005,0.798
0.856,0.401,0.824,0.917,-0.025,1.296,-0.207,1.330,-0.050,0.802
0.866,0.429,0.723,0.978,-0.129,1.261,-0.161,1.258,0.071,0.727
1.093,0.169,0.927,0.874,-0.096,1.227,-0.111,1.211,0.091,0.602
1.128,0.014,0.955,0.815,-0.010,1.223,-0.079,1.275,0.182,0.570
1.116,0.151,0.925,0.829,-0.027,1.172,0.023,1.042,0.338,0.340
1.119,0.070,0.916,0.809,0.116,1.090,0.033,1.047,0.316,0.418
1.140,0.005,0.948,0.642,0.249,0.893,0.180,0.925,0.514,0.314
1.083,0.000,1.035,0.720,0.226,0.837,0.240,0.749,0.541,0.227
0.815,0.331,0.811,0.967,-0.024,1.024,0.017,1.009,0.441,0.349
0.776,0.436,0.562,1.244,-0.204,1.185,-0.090,0.984,0.380,0.572
0.791,0.415,0.618,1.159,-0.087,1.194,-0.109,1.112,0.113,0.740
0.885,0.304,0.803,0.987,-0.043,1.105,-0.205,1.296,0.035,0.763
0.864,0.303,0.738,0.933,0.094,0.978,-0.033,1.247,-0.005,0.913
0.879,0.327,0.739,0.956,0.021,1.024,-0.015,1.187,0.132,0.715
0.935,0.194,0.848,0.810,0.109,1.000,-0.037,1.269,0.127,0.654
0.861,0.182,0.840,0.862,0.180,1.025,-0.101,1.340,-0.001,0.853
0.774,0.315,0.803,0.862,0.307,0.850,0.090,1.115,0.234,0.486
0.863,0.232,0.950,0.700,0.358,0.760,0.183,0.981,0.368,0.340
0.867,0.186,0.922,0.734,0.287,0.613,0.470,0.690,0.703,0.034
0.823,0.332,0.764,0.844,0.256,0.560,0.513,0.725,0.654,0.054
0.835,0.120,0.904,0.601,0.358,0.493,0.423,0.858,0.478,0.275
0.872,0.047,1.015,0.368,0.766,0.201,0.651,0.556,0.651,-0.005
0.757,0.201,0.824,0.542,0.586,0.256,0.741,0.421,0.911,-0.091
0.828,0.146,0.907,0.492,0.582,0.377,0.639,0.465,0.875,-0.006
0.740,0.298,0.812,0.474,0.568,0.483,0.563,0.458,0.694,0.077
0.712,0.518,0.594,0.746,0.312,0.607,0.455,0.618,0.577,0.275
0.765,0.404,0.772,0.617,0.310,0.644,0.270,0.813,0.357,0.501
0.676,0.462,0.698,0.554,0.335,0.710,0.509,0.535,0.616,0.310
0.690,0.567,0.610,0.638,0.207,0.845,0.319,0.754,0.373,0.477
0.713,0.388,0.806,0.620,0.301,0.621,0.526,0.501,0.690,0.141
0.861,0.335,0.856,0.552,0.359,0.583,0.683,0.346,0.816,-0.047
0.883,0.107,1.117,0.292,0.533,0.513,0.624,0.363,0.865,-0.044
0.905,0.189,1.006,0.419,0.502,0.578,0.434,0.562,0.670,-0.034
0.759,0.350,0.795,0.660,0.319,0.733,0.189,0.976,0.336,0.253
0.812,0.400,0.735,0.848,0.369,0.793,0.243,0.860,0.475,0.247
0.869,0.360,0.792,0.903,0.242,0.908,0.130,0.926,0.387,0.267
0.662,0.384,0.764,0.845,0.357,0.935,0.182,0.908,0.518,0.354
0.703,0.376,0.735,0.789,0.336,0.966,0.010,1.108,0.289,0.447
0.814,0.233,0.862,0.807,0.260,1.008,0.107,0.928,0.516,0.333
0.763,0.260,0.779,0.801,0.300,0.882,0.226,0.860,0.674,0.170
0.761,0.273,0.680,0.899,0.251,0.786,0.381,0.676,0.891,-0.119
0.710,0.189,0.774,0.751,0.292,0.809,0.415,0.667,0.738,0.166
0.671,0.367,0.631,0.827,0.274,0.819,0.297,0.815,0.599,0.387
0.601,0.454,0.619,0.831,0.224,0.817,0.309,0.717,0.641,0.190
0.438,0.610,0.428,1.027,0.026,1.006,0.051,0.970,0.340,0.594
0.311,0.724,0.271,1.120,-0.038,1.147,0.048,0.996,0.284,0.714
0.322,0.702,0.297,1.132,0.046,1.109,0.114,0.900,0.325,0.666
0.336,0.633,0.458,1.036,0.146,1.057,0.326,0.690,0.658,0.355
0.406,0.606,0.592,0.954,0.122,1.070,0.313,0.704,0.675,0.345
0.431,0.441,0.818,0.659,0.329,0.909,0.302,0.741,0.543,0.286
0.370,0.583,0.661,0.703,0.259,0.970,0.272,0.846,0.381,0.406
0.398,0.554,0.674,0.650,0.340,0.939,0.337,0.912,0.326,0.506
0.499,0.461,0.800,0.675,0.328,0.836,0.314,0.862,0.313,0.530
0.605,0.452,0.765,0.752,0.218,0.982,0.165,1.140,0.148,0.679
0.657,0.406,0.834,0.850,0.027,1.173,-0.004,1.257,0.038,0.787
0.595,0.479,0.684,0.865,0.219,0.911,0.219,1.061,0.159,0.811
0.637,0.411,0.720,0.732,0.397,0.841,0.344,0.940,0.239,0.646
0.591,0.400,0.914,0.673,0.314,0.884,0.212,1.121,0.054,0.790
0.535,0.429,0.920,0.659,0.383,0.849,0.454,0.865,0.351,0.434
0.495,0.597,0.797,0.779,0.266,0.955,0.193,1.175,-0.091,0.660
0.364,0.722,0.522,1.040,0.061,1.078,-0.091,1.474,-0.328,0.967
0.308,0.732,0.547,0.937,0.164,0.918,-0.057,1.392,-0.241,0.885
0.455,0.597,0.670,0.959,0.106,0.917,0.126,1.231,0.010,0.693
0.514,0.591,0.551,0.956,0.233,0.830,0.195,1.125,-0.016,0.523
0.476,0.601,0.480,0.964,0.270,0.833,0.243,1.016,0.123,0.382
0.797,0.328,0.724,0.769,0.416,0.690,0.475,0.768,0.295,0.366
0.661,0.475,0.603,0.749,0.354,0.689,0.448,0.775,0.278,0.362
0.651,0.436,0.717,0.576,0.403,0.742,0.382,0.822,0.263,0.285
