0.333,0.333,0.333
0.064,0.090,0.345
0.045,0.038,0.324
0.100,0.073,0.303
-0.215,-0.224,0.063
0.194,0.151,0.480
0.348,0.346,0.650
0.271,0.223,0.552
0.020,0.033,0.224
0.061,0.057,0.269
-0.437,-0.467,-0.127
-0.713,-0.665,-0.443
-0.719,-0.737,-0.473
-0.828,-0.801,-0.603
-0.875,-0.873,-0.614
-0.468,-0.507,-0.232
-0.649,-0.669,-0.368
-0.434,-0.413,-0.127
0.022,0.082,0.327
-0.019,-0.037,0.232
-0.303,-0.249,0.007
-0.312,-0.278,-0.032
0.040,-0.027,0.279
-0.615,-0.574,-0.276
-0.599,-0.594,-0.334
-0.532,-0.487,-0.224
-0.533,-0.534,-0.208
-0.086,-0.088,0.220
-0.373,-0.362,-0.083
-0.597,-0.682,-0.405
-0.821,-0.880,-0.571
-0.044,-0.032,0.237
0.246,0.316,0.538
0.295,0.260,0.580
0.183,0.170,0.433
0.274,0.329,0.588
0.150,0.132,0.391
-0.084,-0.093,0.223
0.059,0.062,0.332
-0.075,-0.110,0.199
-0.039,-0.100,0.201
-0.025,0.008,0.256
0.484,0.467,0.795
0.251,0.276,0.555
0.137,0.096,0.410
0.019,0.023,0.300
-0.014,-0.094,0.200
0.303,0.265,0.576
-0.380,-0.401,-0.111
-0.032,-0.081,0.263
0.003,-0.019,0.237
-0.280,-0.317,0.015
0.372,0.370,0.620
1.133,1.119,1.337
1.278,1.244,1.514
1.428,1.492,1.718
1.682,1.649,1.948
0.624,0.592,0.869
0.525,0.536,0.795
0.192,0.189,0.485
-0.454,-0.398,-0.151
-0.370,-0.349,-0.054
-0.573,-0.645,-0.315
-0.204,-0.211,0.102
-0.161,-0.090,0.188
0.099,0.159,0.446
-0.147,-0.132,0.135
-0.152,-0.171,0.163
-0.381,-0.367,-0.061
0.011,-0.001,0.293
0.242,0.255,0.551
0.558,0.637,0.865
1.051,1.108,1.370
0.616,0.623,0.872
0.718,0.772,1.019
0.821,0.814,1.191
1.008,1.017,1.302
0.787,0.810,1.076
0.624,0.546,0.851
0.731,0.764,1.004
0.996,1.029,1.348
0.785,0.766,1.056
0.633,0.599,0.894
0.514,0.495,0.750
0.193,0.179,0.459
0.397,0.443,0.717
0.498,0.496,0.783
0.170,0.102,0.440
0.307,0.313,0.595
0.510,0.458,0.682
1.066,0.967,1.293
0.494,0.521,0.815
0.414,0.417,0.652
0.566,0.515,0.822
0.857,0.860,1.142
0.311,0.267,0.582
-0.456,-0.480,-0.199
-0.318,-0.384,-0.048
-0.394,-0.445,-0.150
-0.996,-0.968,-0.672
-0.227,-0.198,0.072
0.259,0.135,0.473
-0.253,-0.263,0.003
-0.364,-0.399,-0.095
-0.037,-0.079,0.252
0.376,0.423,0.616
0.402,0.470,0.736
0.461,0.442,0.708
0.120,0.138,0.470
0.255,0.276,0.547
-0.153,-0.156,0.140
-0.387,-0.385,-0.068
0.305,0.298,0.560
0.356,0.304,0.640
0.331,0.252,0.568
0.316,0.342,0.587
0.388,0.437,0.709
0.365,0.339,0.634
-0.005,-0.005,0.313
0.007,0.041,0.313
-0.162,-0.136,0.137
-0.240,-0.277,0.026
0.312,0.296,0.590
0.483,0.536,0.793
-0.066,-0.115,0.187
0.003,-0.065,0.183
0.334,0.316,0.580
0.282,0.358,0.611
0.499,0.439,0.701
0.251,0.285,0.536
0.635,0.591,0.894
0.640,0.644,0.863
-0.213,-0.170,0.096
