0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062
0.238,-0.006,0.292,0.367,-0.202,-0.050,-0.209,0.237,0.023,-0.031,-0.227,-0.084,-0.333,0.275,-0.487,-0.557
0.383,0.423,0.391,0.599,0.140,0.284,0.013,0.488,0.179,0.183,-0.032,0.157,-0.206,0.533,-0.396,-0.269
0.352,0.402,0.470,0.494,0.052,0.301,-0.176,0.544,0.178,0.189,0.013,0.047,-0.177,0.525,-0.536,-0.314
0.444,0.277,0.555,0.510,-0.122,0.259,-0.111,0.623,0.336,0.216,0.059,0.191,-0.115,0.612,-0.367,-0.253
0.446,0.370,0.649,0.716,0.124,0.430,0.160,0.709,0.270,0.204,0.231,0.244,0.123,0.792,-0.234,-0.314
0.323,0.380,0.621,0.508,0.281,0.413,0.056,0.678,0.197,0.301,-0.071,0.101,0.025,0.681,-0.258,-0.278
0.680,0.698,0.810,0.876,0.319,0.726,0.451,1.023,0.561,0.446,0.342,0.658,0.235,0.968,-0.098,-0.072
0.477,0.677,0.853,0.746,0.294,0.820,0.285,0.814,0.578,0.410,0.319,0.459,0.188,0.850,-0.184,-0.209
0.519,0.589,0.616,0.678,0.273,0.679,0.081,0.587,0.491,0.258,0.399,0.467,0.040,0.690,-0.353,-0.249
0.469,0.452,0.597,0.579,0.008,0.482,-0.071,0.533,0.206,0.128,0.022,0.167,0.000,0.609,-0.424,-0.378
0.144,0.265,0.378,0.502,0.072,0.241,-0.158,0.416,0.096,0.001,-0.051,0.031,-0.225,0.365,-0.566,-0.505
0.229,0.363,0.636,0.668,0.028,0.441,0.009,0.555,0.170,0.193,0.364,0.194,-0.018,0.607,-0.315,-0.014
0.181,0.339,0.469,0.545,0.113,0.281,-0.054,0.586,0.200,0.115,0.185,0.116,0.112,0.603,-0.420,-0.123
0.293,0.188,0.492,0.473,0.111,0.279,-0.084,0.600,0.166,-0.020,-0.164,-0.011,-0.078,0.507,-0.611,-0.431
0.177,0.153,0.387,0.388,-0.169,0.170,-0.046,0.505,-0.009,-0.199,-0.109,-0.074,-0.143,0.497,-0.622,-0.495
-0.148,-0.347,0.066,0.039,-0.463,-0.165,-0.377,0.013,-0.262,-0.303,-0.567,-0.394,-0.620,0.121,-1.068,-0.816
-0.271,-0.272,-0.033,0.078,-0.578,-0.185,-0.417,0.045,-0.403,-0.473,-0.628,-0.399,-0.735,0.087,-0.977,-0.832
0.339,0.044,0.317,0.442,0.028,0.075,0.025,0.429,-0.038,-0.002,-0.090,0.059,-0.367,0.474,-0.448,-0.431
0.120,-0.009,0.306,0.053,-0.241,-0.044,-0.243,0.356,-0.191,-0.155,-0.125,-0.220,-0.491,0.339,-0.749,-0.825
-0.111,-0.092,0.105,0.151,-0.428,-0.064,-0.529,0.133,-0.206,-0.444,-0.426,-0.207,-0.661,0.068,-0.756,-0.793
-0.097,-0.157,0.070,0.037,-0.414,-0.253,-0.388,0.068,-0.307,-0.444,-0.579,-0.334,-0.649,0.081,-0.738,-0.880
-0.035,-0.074,0.122,0.202,-0.283,-0.106,-0.314,0.156,-0.192,-0.189,-0.412,-0.252,-0.450,0.189,-0.740,-0.686
0.044,-0.001,0.205,0.245,-0.171,-0.024,-0.113,0.219,-0.153,-0.236,-0.221,-0.133,-0.292,0.270,-0.793,-0.697
0.147,0.136,0.333,0.425,0.067,0.139,-0.083,0.564,0.055,0.034,-0.014,-0.149,-0.277,0.374,-0.602,-0.609
0.081,0.294,0.290,0.474,-0.080,0.321,-0.192,0.433,0.085,0.087,0.037,-0.150,-0.136,0.529,-0.494,-0.332
0.170,0.130,0.115,0.177,-0.475,0.121,-0.385,0.289,-0.089,-0.192,-0.509,-0.174,-0.386,0.225,-0.799,-0.669
-0.064,-0.206,-0.019,-0.017,-0.518,-0.167,-0.234,0.136,-0.263,-0.324,-0.277,-0.312,-0.446,0.031,-0.922,-0.715
-0.087,-0.207,0.097,-0.055,-0.394,-0.296,-0.486,0.078,-0.290,-0.253,-0.410,-0.265,-0.560,0.149,-0.992,-0.615
0.008,-0.098,0.196,0.065,-0.249,-0.001,-0.555,0.100,-0.082,-0.263,-0.402,-0.495,-0.630,0.130,-1.005,-0.850
-0.019,0.157,0.200,0.048,-0.294,-0.096,-0.348,0.328,-0.150,-0.200,-0.427,-0.277,-0.396,0.257,-0.892,-0.685
0.179,0.058,0.419,0.301,-0.196,0.136,-0.194,0.360,-0.073,0.039,-0.338,-0.153,-0.343,0.431,-0.632,-0.677
0.334,0.243,0.384,0.359,0.009,0.176,0.068,0.485,-0.009,0.075,0.089,0.043,-0.228,0.448,-0.632,-0.361
0.527,0.324,0.566,0.620,0.201,0.440,-0.020,0.530,0.223,0.188,0.144,0.230,-0.145,0.575,-0.315,-0.296
0.286,0.455,0.493,0.609,0.079,0.318,0.071,0.506,0.209,-0.040,-0.043,0.137,-0.042,0.634,-0.392,-0.192
0.313,0.319,0.628,0.527,0.072,0.444,-0.042,0.463,0.319,0.113,0.021,0.162,-0.023,0.627,-0.260,-0.430
0.339,0.380,0.589,0.689,0.228,0.442,0.242,0.719,0.303,0.293,0.340,0.253,0.062,0.797,-0.070,-0.191
0.403,0.396,0.440,0.580,0.130,0.292,-0.077,0.577,0.303,0.178,0.071,0.325,0.058,0.571,-0.125,-0.443
0.367,0.286,0.618,0.530,0.074,0.275,0.029,0.597,0.145,0.134,0.292,0.327,-0.020,0.594,-0.342,-0.439
0.503,0.363,0.516,0.529,0.132,0.450,-0.062,0.647,0.083,0.181,0.226,0.310,0.016,0.587,-0.357,-0.368
0.564,0.424,0.610,0.759,0.336,0.571,0.171,0.812,0.197,0.273,0.198,0.415,-0.087,0.633,-0.252,-0.199
0.376,0.452,0.587,0.601,0.190,0.488,0.109,0.734,0.312,0.169,0.061,0.260,0.086,0.741,-0.374,-0.412
0.375,0.339,0.577,0.627,0.192,0.389,0.187,0.648,0.240,0.032,0.095,0.313,-0.109,0.758,-0.127,-0.305
0.274,0.271,0.732,0.507,0.216,0.452,0.065,0.777,0.378,0.224,0.255,0.153,-0.054,0.671,-0.003,-0.210
0.553,0.227,0.736,0.586,0.288,0.630,0.234,0.729,0.247,0.226,0.256,0.407,0.107,0.696,-0.282,-0.384
0.327,0.309,0.504,0.569,0.252,0.336,0.069,0.448,0.256,0.230,-0.014,0.291,-0.210,0.569,-0.383,-0.401
0.452,0.311,0.513,0.592,0.291,0.263,0.074,0.719,0.216,0.115,0.043,0.207,-0.146,0.541,-0.377,-0.399
0.434,0.449,0.569,0.692,0.237,0.396,-0.035,0.511,0.176,0.269,0.153,0.257,-0.043,0.689,-0.278,-0.421
0.369,0.327,0.421,0.561,-0.083,0.458,0.139,0.517,0.377,0.260,0.042,0.224,-0.070,0.630,-0.433,-0.334
0.145,0.204,0.366,0.452,-0.076,0.203,0.047,0.356,0.129,0.086,0.073,0.122,-0.187,0.409,-0.374,-0.258
0.070,0.063,0.281,0.302,-0.291,0.197,-0.219,0.255,0.046,-0.012,-0.042,0.012,-0.169,0.267,-0.653,-0.659
0.300,0.365,0.407,0.612,-0.022,0.262,0.007,0.591,0.200,0.069,0.092,-0.047,-0.303,0.525,-0.621,-0.647
0.209,0.132,0.339,0.222,-0.011,0.160,-0.138,0.454,-0.081,0.019,0.237,-0.050,-0.214,0.393,-0.462,-0.522
0.393,0.244,0.402,0.374,-0.019,0.265,-0.100,0.364,0.200,0.093,-0.124,0.004,-0.098,0.379,-0.516,-0.577
0.173,0.369,0.277,0.439,-0.045,0.215,0.048,0.341,0.213,-0.010,-0.033,-0.042,-0.260,0.389,-0.503,-0.424
0.287,0.353,0.534,0.574,0.121,0.341,0.165,0.521,0.257,0.157,0.183,0.300,-0.155,0.553,-0.223,-0.485
0.428,0.332,0.643,0.580,0.146,0.451,0.160,0.556,0.401,0.283,0.238,0.261,-0.113,0.649,-0.094,-0.341
0.542,0.573,0.769,0.640,0.181,0.664,0.269,0.737,0.465,0.475,0.177,0.457,-0.178,0.799,-0.102,-0.264
0.677,0.554,0.717,0.730,0.164,0.588,0.497,0.847,0.627,0.487,0.272,0.382,0.045,0.809,-0.095,-0.229
0.381,0.349,0.522,0.685,0.094,0.345,0.187,0.573,0.286,0.113,0.140,0.172,-0.046,0.612,-0.302,-0.501
0.325,0.275,0.436,0.590,-0.033,0.269,0.087,0.541,0.203,0.215,-0.055,0.151,-0.167,0.609,-0.182,-0.435
0.395,0.366,0.565,0.606,0.168,0.320,-0.036,0.542,0.270,0.154,0.171,0.289,-0.169,0.499,-0.538,-0.384
0.473,0.544,0.636,0.655,0.039,0.338,0.124,0.619,0.286,0.330,-0.018,0.191,0.037,0.688,-0.583,-0.188
0.527,0.372,0.727,0.738,0.320,0.487,0.214,0.621,0.475,0.320,0.204,0.266,-0.018,0.736,-0.301,-0.218
0.568,0.520,0.761,0.802,0.412,0.472,0.235,0.747,0.457,0.264,0.245,0.465,0.141,0.749,-0.095,-0.069
0.613,0.601,0.664,0.797,0.289,0.551,0.247,0.728,0.426,0.337,0.306,0.546,0.225,0.847,-0.172,-0.107
0.344,0.336,0.624,0.505,0.056,0.382,0.056,0.518,0.281,0.159,0.139,0.376,-0.017,0.614,-0.534,-0.302
0.346,0.406,0.600,0.721,0.158,0.485,0.174,0.556,0.302,0.146,0.086,0.459,0.032,0.621,-0.279,-0.253
0.264,0.437,0.490,0.676,0.163,0.327,0.116,0.668,0.178,0.347,0.031,0.420,-0.012,0.689,-0.417,-0.283
0.376,0.389,0.454,0.584,0.116,0.344,0.126,0.556,0.174,0.176,-0.026,0.187,-0.191,0.563,-0.399,-0.513
0.272,0.453,0.528,0.614,0.283,0.439,0.061,0.557,0.174,0.131,0.000,0.257,-0.101,0.612,-0.214,-0.466
0.292,0.229,0.467,0.484,-0.046,0.407,-0.054,0.400,0.241,0.121,0.014,0.179,-0.148,0.503,-0.233,-0.653
0.145,0.108,0.421,0.445,-0.044,0.329,-0.087,0.505,0.172,-0.047,0.106,0.024,-0.154,0.495,-0.395,-0.371
0.513,0.184,0.680,0.604,0.066,0.451,0.165,0.715,0.326,0.135,0.053,0.146,-0.052,0.635,-0.286,-0.273
0.511,0.487,0.718,0.738,0.152,0.612,0.148,0.659,0.483,0.292,0.158,0.328,0.078,0.833,-0.110,-0.133
0.310,0.226,0.522,0.476,0.028,0.454,-0.089,0.492,0.140,0.028,0.009,0.055,-0.100,0.490,-0.308,-0.389
0.394,0.319,0.602,0.558,0.111,0.245,0.013,0.586,0.220,0.378,0.032,0.122,0.015,0.561,-0.314,-0.322
0.334,0.432,0.492,0.537,0.147,0.437,0.153,0.590,0.128,0.158,-0.123,0.259,-0.024,0.587,-0.255,-0.419
0.330,0.367,0.546,0.523,0.137,0.437,0.095,0.508,0.167,0.197,0.012,0.123,-0.083,0.531,-0.401,-0.441
0.220,0.385,0.518,0.539,0.053,0.352,0.012,0.605,0.120,0.071,0.136,0.081,-0.181,0.565,-0.400,-0.474
0.149,0.209,0.106,0.220,-0.202,0.064,-0.125,0.202,0.037,-0.137,-0.210,0.012,-0.309,0.303,-0.827,-0.573
0.242,0.251,0.162,0.269,-0.124,0.024,-0.173,0.346,-0.089,0.055,-0.055,0.026,-0.131,0.309,-0.749,-0.482
0.324,0.278,0.402,0.471,-0.177,0.248,-0.100,0.501,0.179,-0.095,0.083,-0.139,-0.252,0.430,-0.460,-0.490
-0.053,0.006,0.273,0.237,-0.264,0.041,-0.180,0.368,0.044,-0.327,-0.276,-0.173,-0.304,0.347,-0.481,-0.907
0.053,-0.046,0.137,0.145,-0.101,-0.151,-0.405,0.062,-0.209,-0.389,-0.569,-0.338,-0.431,0.023,-0.629,-0.835
-0.098,-0.158,0.011,0.049,-0.447,-0.145,-0.387,-0.013,-0.091,-0.387,-0.484,-0.384,-0.546,0.021,-0.620,-0.837
0.033,-0.072,0.129,0.180,-0.481,0.076,-0.195,0.156,0.035,-0.310,-0.241,-0.125,-0.457,0.221,-0.633,-0.682
0.282,0.198,0.349,0.266,-0.107,0.195,-0.257,0.294,0.119,-0.076,-0.133,-0.025,-0.282,0.325,-0.576,-0.548
0.105,0.308,0.337,0.397,-0.203,0.179,-0.167,0.449,0.085,0.007,-0.075,-0.047,-0.230,0.529,-0.793,-0.382
0.151,0.266,0.367,0.515,-0.054,0.230,-0.095,0.423,-0.008,0.082,-0.142,0.046,-0.256,0.490,-0.609,-0.608
0.342,0.336,0.419,0.519,-0.120,0.226,-0.217,0.388,0.168,-0.002,-0.074,0.090,-0.193,0.468,-0.442,-0.333
0.424,0.341,0.364,0.558,-0.064,0.412,0.185,0.450,0.223,0.041,-0.101,0.157,-0.279,0.481,-0.305,-0.276
0.375,0.375,0.528,0.501,-0.004,0.328,0.121,0.608,0.343,0.163,0.126,0.124,0.077,0.585,-0.167,-0.250
0.309,0.075,0.463,0.472,-0.042,0.286,-0.040,0.382,0.247,0.006,-0.070,0.042,-0.236,0.408,-0.602,-0.552
0.398,0.323,0.405,0.513,-0.040,0.299,0.077,0.528,0.304,0.005,0.080,0.275,-0.091,0.545,-0.575,-0.510
0.569,0.374,0.634,0.710,0.107,0.430,0.187,0.636,0.366,0.293,0.302,0.294,-0.019,0.584,-0.173,-0.382
0.454,0.239,0.582,0.523,0.058,0.339,0.152,0.739,0.307,0.226,0.190,0.360,0.049,0.655,-0.178,-0.189
0.327,0.196,0.506,0.514,0.035,0.274,0.019,0.551,0.323,0.113,0.157,0.106,-0.148,0.425,-0.389,-0.418
0.185,0.141,0.376,0.375,-0.119,0.227,-0.090,0.300,0.246,0.096,-0.081,0.168,-0.171,0.428,-0.310,-0.584
