-0.083,-0.627,-0.044,-0.477,-1.314,0.885,0.881,1.710,0.050,-0.405,-0.545,-1.546
-0.027,-0.591,-0.073,-0.465,-1.253,0.795,0.858,1.692,0.033,-0.441,-0.541,-1.610
0.009,-0.551,-0.107,-0.458,-1.203,0.746,0.869,1.698,0.019,-0.426,-0.568,-1.607
0.029,-0.542,-0.112,-0.470,-1.161,0.726,0.835,1.719,0.030,-0.520,-0.474,-1.578
0.043,-0.495,-0.130,-0.414,-1.141,0.673,0.844,1.723,0.013,-0.527,-0.483,-1.575
0.072,-0.485,-0.139,-0.380,-1.076,0.594,0.846,1.711,0.026,-0.527,-0.506,-1.585
0.114,-0.467,-0.159,-0.369,-1.051,0.570,0.825,1.734,-0.003,-0.554,-0.468,-1.604
0.127,-0.449,-0.166,-0.362,-1.010,0.532,0.801,1.730,0.049,-0.557,-0.443,-1.639
0.161,-0.448,-0.182,-0.353,-0.988,0.493,0.808,1.731,0.033,-0.563,-0.422,-1.653
0.214,-0.447,-0.205,-0.339,-0.950,0.435,0.805,1.741,-0.028,-0.595,-0.404,-1.618
0.223,-0.433,-0.217,-0.323,-0.941,0.406,0.820,1.730,-0.015,-0.624,-0.419,-1.637
0.262,-0.417,-0.234,-0.321,-0.923,0.386,0.801,1.739,-0.024,-0.646,-0.405,-1.652
0.275,-0.368,-0.270,-0.318,-0.924,0.381,0.806,1.740,-0.023,-0.649,-0.394,-1.642
0.313,-0.368,-0.288,-0.321,-0.878,0.306,0.786,1.750,-0.023,-0.684,-0.390,-1.657
0.334,-0.338,-0.315,-0.298,-0.832,0.250,0.806,1.746,-0.038,-0.704,-0.388,-1.661
0.342,-0.336,-0.316,-0.297,-0.808,0.215,0.800,1.755,-0.047,-0.685,-0.366,-1.684
0.353,-0.294,-0.344,-0.290,-0.808,0.212,0.798,1.744,-0.043,-0.683,-0.359,-1.692
0.390,-0.299,-0.361,-0.300,-0.780,0.192,0.775,1.751,-0.017,-0.672,-0.375,-1.675
0.400,-0.282,-0.388,-0.241,-0.748,0.100,0.783,1.756,-0.042,-0.652,-0.408,-1.707
0.411,-0.237,-0.406,-0.199,-0.746,0.051,0.779,1.758,-0.056,-0.673,-0.402,-1.703
0.421,-0.243,-0.407,-0.190,-0.740,0.015,0.774,1.749,-0.031,-0.717,-0.321,-1.719
0.430,-0.234,-0.418,-0.207,-0.747,0.020,0.769,1.757,-0.045,-0.687,-0.335,-1.713
0.440,-0.219,-0.431,-0.216,-0.728,-0.002,0.767,1.764,-0.069,-0.713,-0.322,-1.694
0.454,-0.202,-0.444,-0.229,-0.700,-0.030,0.772,1.758,-0.058,-0.727,-0.307,-1.688
0.491,-0.202,-0.451,-0.230,-0.694,-0.037,0.743,1.764,-0.049,-0.709,-0.305,-1.713
0.504,-0.205,-0.439,-0.213,-0.660,-0.101,0.739,1.762,-0.056,-0.690,-0.298,-1.672
0.507,-0.190,-0.455,-0.204,-0.672,-0.097,0.761,1.742,-0.037,-0.711,-0.324,-1.718
0.555,-0.188,-0.491,-0.219,-0.638,-0.110,0.746,1.765,-0.089,-0.727,-0.295,-1.748
0.582,-0.192,-0.505,-0.210,-0.628,-0.126,0.728,1.765,-0.068,-0.752,-0.268,-1.762
0.575,-0.155,-0.504,-0.188,-0.629,-0.160,0.734,1.755,-0.048,-0.756,-0.300,-1.741
0.594,-0.178,-0.515,-0.184,-0.609,-0.188,0.720,1.770,-0.062,-0.748,-0.302,-1.724
0.601,-0.179,-0.525,-0.157,-0.591,-0.224,0.724,1.789,-0.135,-0.786,-0.247,-1.690
0.611,-0.179,-0.518,-0.172,-0.557,-0.260,0.695,1.778,-0.067,-0.794,-0.256,-1.729
0.612,-0.174,-0.523,-0.177,-0.544,-0.259,0.701,1.801,-0.122,-0.810,-0.238,-1.667
0.635,-0.168,-0.532,-0.175,-0.533,-0.259,0.685,1.790,-0.110,-0.808,-0.226,-1.718
0.651,-0.152,-0.551,-0.130,-0.526,-0.305,0.695,1.788,-0.128,-0.812,-0.227,-1.725
0.658,-0.151,-0.555,-0.113,-0.513,-0.337,0.683,1.792,-0.121,-0.831,-0.191,-1.779
0.676,-0.148,-0.567,-0.115,-0.496,-0.350,0.676,1.793,-0.112,-0.817,-0.181,-1.829
0.676,-0.146,-0.570,-0.105,-0.484,-0.378,0.680,1.789,-0.114,-0.818,-0.159,-1.876
0.721,-0.171,-0.594,-0.132,-0.437,-0.397,0.682,1.800,-0.140,-0.871,-0.132,-1.818
0.721,-0.163,-0.604,-0.125,-0.440,-0.429,0.685,1.778,-0.106,-0.840,-0.160,-1.805
