1.015,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031
1.286,2.098,1.579,1.162,1.369,1.805,1.666,1.864,2.250,1.521,1.563,1.967,1.736,1.867,2.152,1.705,1.630,1.921,1.030,0.845,1.374,2.497,2.195,1.430,1.917,1.923,1.810,2.889,2.347,1.451,2.852,3.021,2.374,2.318,2.619,3.020,2.250,2.724,2.528,2.005,1.652,1.384,2.047,2.302,2.112,1.769,1.576,1.616,1.623,0.799,1.052,3.516,2.272,2.473,2.778,1.925,1.899,1.683,2.087,1.645,1.043,2.067,1.829,1.785,1.907,1.905
1.408,2.594,1.785,1.069,1.435,1.701,1.898,2.307,3.115,1.697,1.422,2.266,2.279,2.781,2.207,1.918,1.811,2.221,1.083,1.086,1.753,3.548,3.702,1.623,2.413,2.872,1.978,3.573,2.781,2.474,6.154,2.752,2.456,3.514,3.109,2.851,2.797,3.549,3.473,2.287,1.474,1.768,2.378,2.905,3.101,1.767,2.095,1.491,1.157,0.617,0.923,2.811,2.059,2.476,2.080,1.805,2.165,1.653,2.249,2.660,1.485,1.810,2.306,2.291,1.591,2.393
1.402,2.696,1.682,1.317,1.700,2.295,2.153,2.560,3.731,1.626,1.616,2.058,2.616,3.346,2.277,3.034,2.356,2.707,1.386,1.022,1.892,3.662,4.717,2.352,2.017,2.477,2.870,4.377,4.478,3.305,5.627,2.633,1.984,4.085,3.776,2.533,2.630,3.705,3.752,2.152,1.843,1.769,1.945,2.900,2.926,1.785,1.847,1.394,1.415,0.890,1.364,3.618,2.786,3.885,2.406,2.620,1.931,1.772,2.353,2.033,2.177,1.667,1.983,2.115,2.041,2.300
1.777,3.581,1.847,1.355,1.786,1.987,2.245,3.295,4.498,2.132,1.375,2.730,3.138,2.595,2.201,3.186,2.007,1.960,1.229,0.868,2.902,4.895,3.719,2.611,2.525,3.257,2.754,3.541,4.995,3.593,6.239,3.290,3.297,4.747,3.830,2.381,2.306,4.867,5.060,2.666,1.757,1.312,2.293,3.425,2.133,1.473,1.644,1.589,1.835,1.410,1.441,3.022,2.382,4.381,2.941,2.750,1.625,1.222,2.005,1.867,1.883,1.330,1.966,2.643,1.848,2.744
1.705,2.349,1.620,1.014,1.109,1.474,2.010,3.540,3.037,2.005,1.594,3.273,2.824,1.900,2.146,3.882,2.710,1.644,0.916,1.023,3.246,5.111,4.003,2.343,2.079,3.542,3.403,3.585,4.621,4.288,6.979,2.759,2.982,4.591,3.964,2.216,2.652,5.958,5.182,1.718,1.740,1.812,2.039,3.888,2.387,1.261,1.486,2.364,1.579,0.732,1.480,3.229,2.246,6.007,2.810,2.943,1.696,1.164,3.006,2.733,2.623,2.129,2.084,2.647,2.201,2.505
2.098,2.236,1.773,1.123,0.557,1.151,1.884,2.929,3.302,3.174,1.771,3.114,3.331,1.691,2.477,4.340,2.787,1.318,1.229,1.505,3.321,5.349,4.200,2.838,1.565,3.777,3.708,3.183,5.624,3.702,6.826,3.328,3.143,5.184,3.902,2.809,2.248,5.315,5.631,1.728,2.285,2.532,3.420,3.913,2.820,1.463,1.683,2.441,1.121,0.889,1.408,2.588,2.619,8.214,3.357,2.682,1.562,1.118,3.928,2.879,1.721,1.133,2.060,3.894,1.948,2.606
1.782,2.480,2.085,0.689,0.443,1.580,2.289,3.172,3.505,2.715,2.093,2.933,2.176,1.676,1.938,4.405,2.929,0.858,1.143,1.696,3.096,5.144,6.078,2.523,0.709,3.091,5.254,3.235,5.784,4.138,7.990,3.520,2.692,6.274,4.785,1.791,1.418,4.992,5.121,2.504,2.878,2.981,4.105,3.216,2.646,1.228,1.584,2.985,1.208,0.743,0.972,2.811,2.624,7.375,4.957,2.481,1.077,1.260,4.744,3.002,1.710,1.645,2.001,3.634,3.182,3.030
2.060,2.721,2.309,0.996,0.872,2.351,2.014,3.685,4.119,2.886,2.150,2.753,2.375,1.920,1.892,3.759,2.710,0.972,1.213,2.030,3.052,4.571,4.674,1.931,0.719,3.674,4.227,2.948,5.686,3.552,5.753,2.780,3.817,7.419,5.465,1.705,2.793,5.692,4.592,4.335,2.643,2.407,3.585,3.569,2.669,0.994,1.413,3.009,1.099,0.551,0.968,3.021,3.476,7.149,4.952,2.445,0.936,1.292,4.701,2.690,1.247,1.797,2.485,4.217,3.727,2.485
2.003,2.506,1.970,0.695,0.806,2.950,2.254,3.729,4.001,2.809,1.618,3.042,2.369,1.634,2.221,3.168,2.559,0.874,0.974,1.700,3.014,5.201,5.344,1.936,0.779,4.337,5.065,2.913,5.125,3.535,6.252,4.318,3.516,8.344,6.741,1.909,3.144,4.748,4.592,4.293,2.714,2.705,3.963,3.030,2.400,1.151,1.610,3.499,0.941,0.553,1.120,3.500,3.739,8.183,5.222,2.204,1.607,1.357,4.106,2.441,0.770,1.384,1.687,4.113,3.311,1.800
