0.333,0.333,0.333
0.333,0.343,0.301
0.323,0.350,0.294
0.331,0.338,0.290
0.323,0.349,0.296
0.337,0.341,0.295
0.328,0.371,0.235
0.340,0.358,0.230
0.291,0.437,0.139
0.256,0.482,0.083
0.234,0.540,0.020
0.186,0.601,-0.057
0.199,0.580,-0.043
0.191,0.583,-0.048
0.193,0.573,-0.059
0.177,0.583,-0.075
0.195,0.564,-0.050
0.214,0.545,-0.053
0.207,0.577,-0.083
0.208,0.570,-0.075
0.184,0.604,-0.105
0.171,0.627,-0.123
0.183,0.607,-0.120
0.186,0.601,-0.110
0.198,0.600,-0.130
0.197,0.603,-0.128
0.202,0.593,-0.116
0.208,0.596,-0.099
0.188,0.613,-0.130
0.194,0.594,-0.110
0.210,0.584,-0.091
0.211,0.586,-0.083
0.229,0.580,-0.072
0.212,0.582,-0.082
0.239,0.566,-0.073
0.228,0.574,-0.095
0.245,0.555,-0.067
0.252,0.557,-0.093
0.229,0.583,-0.150
0.234,0.560,-0.134
0.245,0.564,-0.111
0.229,0.560,-0.111
0.222,0.553,-0.121
0.240,0.543,-0.108
0.228,0.567,-0.120
0.212,0.574,-0.119
0.176,0.599,-0.131
0.154,0.626,-0.169
0.141,0.629,-0.168
0.137,0.624,-0.163
0.136,0.624,-0.169
0.131,0.636,-0.188
0.127,0.637,-0.200
0.130,0.635,-0.184
0.121,0.649,-0.209
0.120,0.661,-0.217
0.117,0.664,-0.220
0.116,0.682,-0.236
0.141,0.662,-0.231
0.135,0.681,-0.261
0.138,0.666,-0.259
0.128,0.682,-0.282
0.110,0.723,-0.288
0.118,0.712,-0.288
0.121,0.716,-0.307
0.125,0.708,-0.303
0.134,0.687,-0.269
0.118,0.686,-0.273
0.113,0.695,-0.271
0.143,0.659,-0.275
0.130,0.678,-0.306
0.137,0.678,-0.305
0.156,0.669,-0.303
0.148,0.680,-0.322
0.114,0.717,-0.350
0.122,0.693,-0.335
0.133,0.730,-0.376
0.160,0.686,-0.328
0.146,0.700,-0.357
0.112,0.740,-0.388
0.123,0.732,-0.374
0.130,0.731,-0.385
0.137,0.708,-0.374
0.125,0.721,-0.370
0.124,0.718,-0.377
0.142,0.704,-0.350
0.143,0.716,-0.377
0.119,0.759,-0.402
0.123,0.757,-0.387
0.117,0.752,-0.389
0.093,0.768,-0.402
0.100,0.773,-0.396
0.094,0.786,-0.400
0.111,0.783,-0.418
0.126,0.773,-0.415
0.142,0.770,-0.423
0.122,0.787,-0.431
0.153,0.761,-0.397
0.158,0.764,-0.399
0.174,0.747,-0.392
0.168,0.766,-0.450
0.159,0.762,-0.467
0.148,0.791,-0.491
0.135,0.784,-0.487
0.123,0.805,-0.493
0.150,0.783,-0.462
0.156,0.779,-0.457
0.152,0.780,-0.469
0.130,0.783,-0.471
0.106,0.814,-0.495
0.117,0.798,-0.477
0.080,0.821,-0.501
0.073,0.843,-0.526
0.074,0.835,-0.500
0.053,0.872,-0.559
0.050,0.855,-0.518
0.064,0.838,-0.490
0.042,0.862,-0.534
0.030,0.896,-0.565
0.039,0.896,-0.554
0.018,0.916,-0.593
-0.010,0.965,-0.637
0.007,0.944,-0.613
0.017,0.930,-0.583
0.017,0.920,-0.587
-0.004,0.949,-0.623
-0.028,0.964,-0.613
-0.039,0.966,-0.613
-0.042,0.988,-0.648
-0.056,0.995,-0.675
-0.072,1.014,-0.691
-0.067,0.999,-0.681
-0.056,0.997,-0.669
-0.059,1.003,-0.667
-0.020,0.970,-0.643
-0.006,0.955,-0.614
-0.001,0.952,-0.611
-0.002,0.947,-0.607
-0.010,0.965,-0.621
-0.012,0.984,-0.629
-0.032,1.015,-0.653
-0.039,1.021,-0.676
-0.040,1.020,-0.662
-0.028,1.018,-0.673
-0.019,1.012,-0.663
-0.004,0.999,-0.639
