0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050
0.050,0.049,0.064,0.069,0.057,0.042,0.043,0.074,0.047,0.051,0.040,0.060,0.052,0.062,0.039,0.035,0.023,0.043,0.040,0.061
0.048,0.049,0.069,0.077,0.049,0.052,0.043,0.080,0.045,0.051,0.033,0.057,0.048,0.062,0.031,0.035,0.021,0.058,0.039,0.055
0.044,0.053,0.062,0.086,0.055,0.047,0.038,0.073,0.048,0.055,0.037,0.055,0.042,0.064,0.029,0.036,0.031,0.052,0.043,0.051
0.050,0.053,0.062,0.082,0.061,0.052,0.034,0.072,0.049,0.049,0.031,0.057,0.043,0.075,0.031,0.034,0.031,0.055,0.036,0.045
0.052,0.057,0.064,0.076,0.052,0.049,0.036,0.068,0.045,0.059,0.033,0.060,0.043,0.068,0.032,0.030,0.026,0.052,0.042,0.056
0.048,0.055,0.068,0.072,0.047,0.059,0.032,0.070,0.053,0.053,0.037,0.057,0.049,0.064,0.030,0.035,0.027,0.050,0.034,0.061
0.053,0.048,0.066,0.073,0.053,0.050,0.038,0.078,0.045,0.052,0.029,0.056,0.048,0.070,0.030,0.040,0.030,0.049,0.037,0.055
0.043,0.049,0.068,0.080,0.049,0.048,0.036,0.079,0.047,0.057,0.032,0.059,0.045,0.072,0.037,0.037,0.029,0.041,0.036,0.055
0.053,0.050,0.071,0.073,0.050,0.051,0.029,0.065,0.046,0.046,0.040,0.063,0.044,0.075,0.036,0.036,0.028,0.050,0.040,0.054
0.043,0.053,0.071,0.081,0.048,0.051,0.034,0.074,0.046,0.048,0.041,0.058,0.047,0.072,0.029,0.035,0.030,0.039,0.034,0.065
0.049,0.048,0.070,0.080,0.044,0.049,0.036,0.071,0.050,0.049,0.047,0.056,0.043,0.074,0.032,0.028,0.025,0.048,0.039,0.061
0.044,0.047,0.067,0.083,0.052,0.053,0.037,0.067,0.040,0.057,0.041,0.064,0.052,0.077,0.034,0.033,0.022,0.046,0.032,0.052
0.051,0.042,0.061,0.073,0.052,0.052,0.039,0.073,0.048,0.051,0.031,0.073,0.045,0.085,0.023,0.033,0.024,0.046,0.039,0.059
0.048,0.049,0.065,0.074,0.061,0.049,0.035,0.077,0.050,0.045,0.031,0.067,0.034,0.073,0.032,0.037,0.030,0.046,0.039,0.060
0.047,0.050,0.056,0.084,0.046,0.051,0.047,0.070,0.041,0.050,0.044,0.060,0.036,0.074,0.032,0.030,0.032,0.047,0.041,0.064
0.046,0.050,0.072,0.070,0.043,0.057,0.039,0.076,0.040,0.056,0.045,0.057,0.041,0.070,0.038,0.031,0.029,0.048,0.033,0.059
0.041,0.053,0.060,0.074,0.048,0.046,0.035,0.080,0.041,0.055,0.041,0.071,0.044,0.084,0.027,0.028,0.024,0.051,0.042,0.054
0.054,0.060,0.067,0.072,0.044,0.046,0.036,0.081,0.044,0.047,0.039,0.063,0.039,0.073,0.029,0.035,0.030,0.052,0.041,0.052
0.043,0.057,0.067,0.082,0.047,0.046,0.040,0.077,0.046,0.051,0.034,0.054,0.041,0.071,0.034,0.032,0.034,0.047,0.036,0.060
0.045,0.053,0.064,0.070,0.048,0.052,0.041,0.075,0.045,0.052,0.038,0.060,0.044,0.075,0.027,0.032,0.026,0.047,0.045,0.062
0.047,0.053,0.065,0.073,0.046,0.055,0.040,0.075,0.048,0.057,0.039,0.060,0.040,0.063,0.037,0.032,0.028,0.047,0.036,0.060
0.041,0.063,0.063,0.078,0.048,0.056,0.039,0.076,0.043,0.050,0.037,0.059,0.042,0.071,0.035,0.029,0.032,0.050,0.032,0.055
0.046,0.053,0.063,0.077,0.045,0.051,0.030,0.076,0.052,0.051,0.036,0.059,0.047,0.069,0.037,0.035,0.034,0.041,0.038,0.059
0.049,0.052,0.074,0.070,0.049,0.048,0.033,0.081,0.053,0.045,0.042,0.059,0.048,0.067,0.032,0.028,0.034,0.037,0.039,0.061
0.054,0.046,0.060,0.080,0.050,0.047,0.034,0.070,0.046,0.051,0.039,0.060,0.040,0.082,0.033,0.027,0.028,0.047,0.043,0.065
0.053,0.047,0.070,0.074,0.046,0.051,0.031,0.083,0.050,0.051,0.038,0.056,0.044,0.081,0.030,0.028,0.030,0.046,0.036,0.053
0.047,0.051,0.073,0.088,0.053,0.052,0.025,0.068,0.053,0.054,0.041,0.058,0.048,0.064,0.027,0.031,0.024,0.045,0.042,0.057
0.046,0.052,0.059,0.072,0.040,0.053,0.033,0.080,0.049,0.058,0.044,0.057,0.041,0.074,0.038,0.035,0.027,0.049,0.038,0.054
0.043,0.057,0.068,0.067,0.045,0.050,0.029,0.068,0.039,0.057,0.042,0.060,0.047,0.075,0.039,0.034,0.029,0.056,0.040,0.056
0.053,0.054,0.065,0.073,0.051,0.057,0.032,0.085,0.053,0.053,0.034,0.048,0.038,0.069,0.035,0.028,0.030,0.050,0.034,0.058
0.057,0.053,0.059,0.079,0.043,0.047,0.032,0.081,0.045,0.060,0.035,0.059,0.043,0.072,0.040,0.026,0.030,0.049,0.032,0.059
0.055,0.049,0.067,0.071,0.049,0.053,0.034,0.078,0.047,0.050,0.038,0.062,0.040,0.075,0.027,0.035,0.033,0.042,0.038,0.057
0.051,0.053,0.056,0.080,0.055,0.045,0.036,0.072,0.050,0.054,0.036,0.057,0.045,0.075,0.033,0.032,0.028,0.044,0.042,0.056
0.053,0.046,0.070,0.078,0.048,0.048,0.034,0.075,0.038,0.054,0.039,0.061,0.043,0.076,0.030,0.033,0.033,0.047,0.038,0.057
0.046,0.047,0.061,0.067,0.057,0.050,0.045,0.076,0.052,0.051,0.042,0.049,0.045,0.064,0.030,0.030,0.031,0.055,0.039,0.063
0.049,0.052,0.061,0.073,0.058,0.051,0.038,0.070,0.045,0.052,0.041,0.055,0.047,0.072,0.033,0.026,0.027,0.046,0.038,0.067
0.045,0.049,0.068,0.077,0.047,0.052,0.032,0.073,0.043,0.051,0.046,0.062,0.039,0.072,0.027,0.031,0.033,0.051,0.039,0.065
0.046,0.044,0.061,0.079,0.048,0.060,0.037,0.076,0.041,0.053,0.041,0.057,0.040,0.071,0.034,0.030,0.032,0.051,0.040,0.059
0.047,0.049,0.065,0.097,0.045,0.050,0.033,0.078,0.047,0.058,0.037,0.065,0.039,0.066,0.031,0.031,0.027,0.045,0.036,0.053
0.045,0.047,0.055,0.083,0.048,0.047,0.034,0.076,0.046,0.061,0.041,0.057,0.045,0.069,0.040,0.035,0.030,0.044,0.035,0.062
0.043,0.061,0.064,0.086,0.051,0.050,0.034,0.074,0.042,0.048,0.036,0.056,0.045,0.069,0.028,0.042,0.037,0.046,0.035,0.054
0.045,0.049,0.067,0.081,0.043,0.059,0.036,0.071,0.045,0.049,0.034,0.055,0.048,0.073,0.030,0.035,0.033,0.044,0.037,0.066
0.048,0.051,0.068,0.081,0.044,0.053,0.039,0.070,0.040,0.059,0.030,0.062,0.042,0.080,0.034,0.033,0.025,0.047,0.036,0.060
0.047,0.053,0.071,0.084,0.043,0.052,0.035,0.074,0.048,0.054,0.040,0.055,0.040,0.072,0.033,0.028,0.026,0.046,0.041,0.058
0.057,0.051,0.064,0.077,0.042,0.050,0.040,0.080,0.037,0.066,0.041,0.061,0.045,0.067,0.031,0.029,0.028,0.048,0.034,0.055
0.055,0.055,0.064,0.078,0.046,0.057,0.037,0.073,0.043,0.052,0.035,0.061,0.035,0.067,0.032,0.031,0.031,0.048,0.047,0.052
0.047,0.057,0.063,0.069,0.054,0.059,0.035,0.074,0.043,0.051,0.038,0.057,0.040,0.073,0.041,0.035,0.030,0.044,0.038,0.055
0.050,0.053,0.069,0.064,0.053,0.052,0.037,0.085,0.055,0.050,0.037,0.052,0.041,0.069,0.028,0.027,0.033,0.052,0.032,0.061
0.049,0.060,0.064,0.075,0.051,0.043,0.037,0.077,0.046,0.047,0.039,0.060,0.038,0.075,0.038,0.026,0.030,0.046,0.035,0.065
0.052,0.054,0.068,0.072,0.045,0.058,0.032,0.079,0.051,0.046,0.037,0.055,0.046,0.072,0.035,0.030,0.026,0.050,0.036,0.056
0.049,0.054,0.065,0.072,0.045,0.059,0.030,0.078,0.045,0.057,0.042,0.053,0.043,0.070,0.034,0.029,0.032,0.048,0.041,0.053
0.049,0.049,0.066,0.068,0.042,0.056,0.039,0.077,0.042,0.054,0.038,0.056,0.044,0.077,0.041,0.026,0.036,0.046,0.035,0.058
0.048,0.051,0.054,0.068,0.043,0.057,0.034,0.071,0.059,0.052,0.037,0.064,0.047,0.079,0.030,0.025,0.031,0.049,0.043,0.057
0.053,0.045,0.066,0.078,0.051,0.050,0.040,0.070,0.052,0.053,0.037,0.057,0.047,0.069,0.034,0.028,0.028,0.048,0.040,0.054
0.050,0.051,0.073,0.074,0.040,0.051,0.036,0.075,0.046,0.054,0.036,0.053,0.049,0.070,0.034,0.030,0.034,0.053,0.042,0.049
0.048,0.052,0.064,0.085,0.049,0.056,0.032,0.080,0.042,0.049,0.039,0.062,0.040,0.068,0.036,0.028,0.029,0.042,0.040,0.061
0.041,0.056,0.064,0.073,0.049,0.058,0.030,0.075,0.042,0.057,0.036,0.063,0.047,0.071,0.037,0.027,0.027,0.045,0.041,0.061
0.053,0.061,0.058,0.075,0.044,0.053,0.038,0.070,0.045,0.054,0.041,0.058,0.043,0.075,0.039,0.023,0.033,0.047,0.035,0.054
0.044,0.054,0.060,0.075,0.049,0.051,0.037,0.067,0.045,0.053,0.039,0.063,0.041,0.074,0.038,0.033,0.027,0.054,0.039,0.055
0.045,0.063,0.063,0.071,0.049,0.047,0.040,0.072,0.044,0.060,0.044,0.061,0.038,0.062,0.032,0.030,0.030,0.047,0.038,0.065
0.053,0.058,0.067,0.071,0.044,0.049,0.035,0.078,0.045,0.061,0.036,0.057,0.043,0.079,0.028,0.030,0.023,0.045,0.040,0.061
0.047,0.055,0.069,0.077,0.045,0.054,0.032,0.073,0.046,0.052,0.036,0.052,0.049,0.073,0.026,0.031,0.031,0.050,0.043,0.059
0.052,0.059,0.066,0.076,0.046,0.057,0.031,0.070,0.047,0.045,0.037,0.050,0.044,0.072,0.033,0.033,0.034,0.040,0.039,0.067
0.051,0.053,0.065,0.086,0.045,0.054,0.031,0.079,0.052,0.050,0.035,0.053,0.045,0.072,0.031,0.032,0.031,0.042,0.038,0.056
0.055,0.044,0.068,0.065,0.047,0.058,0.034,0.076,0.044,0.048,0.041,0.056,0.048,0.070,0.035,0.032,0.030,0.045,0.034,0.069
0.044,0.053,0.060,0.078,0.049,0.051,0.037,0.078,0.050,0.050,0.034,0.060,0.043,0.073,0.033,0.030,0.035,0.043,0.040,0.058
0.048,0.058,0.060,0.081,0.054,0.046,0.036,0.077,0.045,0.048,0.045,0.055,0.043,0.074,0.028,0.028,0.025,0.049,0.041,0.060
0.046,0.043,0.062,0.080,0.049,0.047,0.033,0.078,0.041,0.049,0.045,0.049,0.043,0.071,0.039,0.032,0.028,0.060,0.042,0.062
0.045,0.047,0.064,0.070,0.052,0.049,0.032,0.070,0.052,0.053,0.046,0.061,0.036,0.077,0.034,0.041,0.028,0.041,0.039,0.064
0.045,0.049,0.059,0.082,0.050,0.050,0.042,0.080,0.037,0.053,0.038,0.055,0.051,0.070,0.031,0.030,0.030,0.048,0.033,0.065
0.044,0.039,0.065,0.077,0.050,0.054,0.042,0.083,0.055,0.053,0.032,0.054,0.049,0.067,0.032,0.031,0.024,0.051,0.041,0.057
0.050,0.049,0.060,0.073,0.051,0.052,0.038,0.068,0.045,0.061,0.038,0.056,0.045,0.068,0.034,0.034,0.027,0.049,0.040,0.062
0.042,0.042,0.069,0.069,0.051,0.050,0.041,0.074,0.046,0.055,0.039,0.050,0.046,0.072,0.039,0.033,0.030,0.050,0.036,0.067
0.042,0.057,0.060,0.077,0.048,0.058,0.033,0.072,0.051,0.058,0.035,0.056,0.047,0.071,0.035,0.028,0.028,0.049,0.033,0.063
0.052,0.048,0.063,0.070,0.056,0.050,0.037,0.073,0.045,0.054,0.039,0.055,0.038,0.073,0.040,0.033,0.025,0.049,0.040,0.058
0.046,0.052,0.068,0.074,0.054,0.045,0.031,0.079,0.056,0.062,0.033,0.056,0.047,0.076,0.036,0.028,0.024,0.041,0.037,0.056
0.039,0.056,0.068,0.076,0.057,0.047,0.037,0.075,0.047,0.052,0.033,0.060,0.047,0.071,0.033,0.029,0.027,0.044,0.039,0.065
0.038,0.052,0.075,0.076,0.043,0.051,0.036,0.078,0.047,0.055,0.031,0.069,0.046,0.061,0.032,0.031,0.029,0.049,0.040,0.060
0.041,0.050,0.064,0.079,0.046,0.051,0.033,0.093,0.046,0.052,0.034,0.068,0.045,0.067,0.028,0.035,0.030,0.053,0.037,0.049
0.041,0.053,0.067,0.079,0.055,0.044,0.034,0.081,0.046,0.053,0.034,0.064,0.048,0.070,0.036,0.028,0.026,0.048,0.036,0.057
