0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
0.097,0.098,0.080,0.076,0.088,0.087,0.054,0.109,0.079,0.094,0.058,0.080
0.103,0.091,0.093,0.082,0.070,0.085,0.064,0.102,0.073,0.074,0.072,0.091
0.102,0.085,0.087,0.091,0.070,0.081,0.051,0.107,0.081,0.084,0.061,0.099
0.101,0.085,0.098,0.084,0.068,0.093,0.056,0.107,0.076,0.087,0.064,0.082
0.102,0.089,0.094,0.093,0.071,0.092,0.054,0.120,0.067,0.074,0.057,0.087
0.099,0.099,0.088,0.082,0.074,0.087,0.061,0.113,0.073,0.073,0.060,0.090
0.101,0.085,0.094,0.097,0.069,0.088,0.060,0.096,0.071,0.086,0.063,0.090
0.096,0.083,0.090,0.087,0.069,0.081,0.062,0.113,0.077,0.080,0.063,0.098
0.099,0.083,0.095,0.090,0.070,0.086,0.051,0.113,0.068,0.087,0.064,0.094
0.101,0.089,0.082,0.099,0.075,0.076,0.064,0.104,0.071,0.077,0.067,0.096
0.099,0.091,0.087,0.083,0.076,0.089,0.062,0.105,0.070,0.078,0.063,0.097
0.102,0.088,0.089,0.092,0.068,0.085,0.059,0.109,0.068,0.084,0.068,0.090
0.101,0.095,0.084,0.085,0.070,0.082,0.058,0.114,0.067,0.083,0.066,0.095
0.091,0.097,0.087,0.091,0.069,0.088,0.050,0.111,0.078,0.078,0.068,0.093
0.083,0.091,0.089,0.078,0.079,0.093,0.053,0.125,0.067,0.071,0.070,0.101
0.091,0.092,0.102,0.079,0.084,0.086,0.059,0.110,0.069,0.073,0.062,0.094
0.099,0.090,0.089,0.091,0.081,0.075,0.058,0.105,0.072,0.077,0.063,0.100
0.093,0.097,0.089,0.098,0.063,0.090,0.061,0.099,0.066,0.086,0.061,0.098
0.100,0.089,0.078,0.091,0.071,0.086,0.053,0.116,0.073,0.086,0.061,0.095
0.098,0.082,0.090,0.085,0.072,0.095,0.049,0.119,0.071,0.082,0.064,0.093
0.091,0.086,0.095,0.089,0.071,0.088,0.055,0.113,0.073,0.080,0.059,0.098
0.082,0.084,0.097,0.104,0.069,0.085,0.065,0.124,0.062,0.077,0.059,0.092
0.079,0.094,0.097,0.092,0.072,0.100,0.047,0.119,0.074,0.075,0.061,0.090
0.091,0.093,0.086,0.098,0.078,0.086,0.053,0.117,0.081,0.078,0.053,0.086
0.092,0.081,0.090,0.088,0.075,0.098,0.061,0.109,0.072,0.080,0.062,0.091
0.090,0.082,0.088,0.088,0.075,0.080,0.053,0.123,0.077,0.086,0.064,0.094
0.083,0.091,0.084,0.093,0.079,0.094,0.052,0.112,0.080,0.073,0.057,0.102
0.090,0.096,0.089,0.095,0.072,0.092,0.054,0.114,0.076,0.073,0.057,0.091
0.100,0.092,0.086,0.089,0.063,0.076,0.061,0.128,0.073,0.076,0.058,0.097
0.093,0.097,0.094,0.093,0.072,0.075,0.059,0.114,0.069,0.078,0.060,0.095
