0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056
0.237,0.342,0.452,0.701,0.228,0.203,-0.249,0.677,0.378,0.269,-0.058,0.262,0.153,0.607,-0.164,-0.301,-0.077,0.017
0.288,0.355,0.544,0.606,-0.020,0.117,-0.180,0.605,0.297,0.312,0.140,0.309,-0.058,0.657,-0.149,-0.160,-0.215,-0.241
-0.015,0.132,0.337,0.441,-0.229,-0.010,-0.509,0.509,0.196,-0.192,-0.307,0.169,-0.234,0.410,-0.378,-0.647,-0.351,-0.633
-0.022,-0.067,0.165,0.299,-0.271,-0.079,-0.407,0.397,0.045,-0.145,-0.257,-0.048,-0.283,0.148,-0.446,-0.626,-0.532,-0.441
-0.160,-0.101,0.069,0.296,-0.354,-0.193,-0.519,0.318,-0.073,-0.139,-0.342,-0.020,-0.306,0.078,-0.597,-0.664,-0.691,-0.619
-0.128,0.048,0.063,0.102,-0.176,0.024,-0.525,0.391,-0.008,-0.352,-0.482,-0.237,-0.374,0.216,-0.632,-0.620,-0.601,-0.534
0.041,0.019,0.359,0.294,-0.125,0.098,-0.342,0.462,-0.022,-0.157,-0.288,0.030,-0.259,0.319,-0.668,-0.656,-0.475,-0.526
-0.252,-0.218,-0.062,0.028,-0.289,-0.196,-0.679,0.148,-0.304,-0.476,-0.580,-0.367,-0.670,-0.019,-0.885,-0.805,-0.720,-0.827
-0.299,-0.190,0.089,0.168,-0.369,-0.275,-0.660,0.112,-0.139,-0.303,-0.448,-0.278,-0.507,0.059,-0.786,-0.602,-0.702,-0.633
-0.088,-0.240,0.002,0.143,-0.347,-0.217,-0.535,0.324,-0.093,-0.281,-0.266,-0.222,-0.343,0.197,-0.713,-0.607,-0.523,-0.613
-0.216,-0.162,0.121,0.056,-0.382,-0.341,-0.388,0.052,-0.197,-0.327,-0.467,-0.131,-0.527,0.199,-0.699,-0.622,-0.813,-0.734
-0.214,-0.045,0.083,0.072,-0.506,-0.376,-0.647,0.217,-0.167,-0.389,-0.638,-0.155,-0.496,0.005,-0.594,-0.704,-0.763,-0.671
-0.323,-0.137,0.019,0.128,-0.421,-0.292,-0.606,0.199,-0.240,-0.370,-0.400,-0.361,-0.425,-0.005,-0.717,-0.672,-0.904,-0.865
