0.367,0.337,0.253,0.044
0.292,0.097,0.394,0.217
0.064,0.224,0.175,0.537
0.311,0.277,0.152,0.260
0.341,0.144,0.156,0.359
0.312,0.421,0.182,0.086
0.271,0.147,0.464,0.118
0.602,0.140,0.153,0.105
0.094,0.359,0.419,0.128
0.079,0.791,0.095,0.035
0.260,0.091,0.060,0.589
0.821,0.067,0.011,0.100
0.381,0.104,0.399,0.116
0.098,0.188,0.339,0.376
0.200,0.370,0.175,0.255
0.059,0.401,0.494,0.046
0.202,0.301,0.383,0.113
0.179,0.162,0.131,0.528
0.307,0.293,0.330,0.070
0.267,0.434,0.246,0.053
0.084,0.226,0.595,0.095
0.151,0.684,0.055,0.110
0.219,0.414,0.084,0.284
0.175,0.289,0.451,0.085
0.226,0.272,0.182,0.320
0.185,0.060,0.371,0.384
0.077,0.076,0.813,0.034
0.162,0.642,0.157,0.039
0.573,0.161,0.039,0.227
0.268,0.178,0.255,0.299
0.094,0.290,0.560,0.056
0.190,0.345,0.099,0.366
0.073,0.085,0.552,0.290
0.269,0.433,0.076,0.222
0.023,0.027,0.106,0.844
0.211,0.443,0.062,0.284
0.230,0.302,0.024,0.444
0.322,0.219,0.439,0.020
0.132,0.011,0.401,0.456
0.052,0.281,0.629,0.037
0.286,0.342,0.205,0.166
0.467,0.199,0.282,0.052
0.296,0.628,0.044,0.032
0.400,0.135,0.368,0.098
0.312,0.149,0.457,0.082
0.141,0.721,0.087,0.051
0.442,0.165,0.240,0.152
0.044,0.081,0.376,0.499
0.045,0.161,0.541,0.254
0.199,0.156,0.544,0.101
0.013,0.162,0.784,0.041
0.083,0.204,0.426,0.288
0.025,0.852,0.066,0.056
0.099,0.323,0.259,0.319
0.151,0.319,0.350,0.179
0.179,0.195,0.230,0.396
0.047,0.422,0.488,0.044
0.251,0.387,0.218,0.145
0.201,0.272,0.462,0.065
0.049,0.720,0.196,0.035
0.415,0.312,0.109,0.164
0.207,0.471,0.257,0.065
0.371,0.308,0.212,0.109
0.085,0.311,0.346,0.258
0.460,0.177,0.037,0.326
0.196,0.192,0.476,0.135
0.098,0.211,0.486,0.205
0.268,0.175,0.481,0.075
0.357,0.018,0.031,0.594
0.120,0.174,0.113,0.593
0.209,0.158,0.495,0.138
0.540,0.108,0.293,0.059
0.228,0.250,0.364,0.158
0.174,0.207,0.273,0.346
0.141,0.629,0.171,0.059
0.395,0.317,0.050,0.237
