-1.511,0.121,-1.433,-0.217,-0.704
-1.175,0.476,-1.621,1.147,-0.888
-0.716,-0.253,-0.003,2.416,-0.310
0.862,-1.576,-1.452,1.140,0.586
-1.959,-1.370,-0.684,-2.328,-1.196
-0.503,-2.544,0.460,0.189,2.022
-0.252,1.174,-0.072,0.560,1.195
2.292,2.042,-0.707,-1.264,0.438
0.231,1.200,-0.556,-1.090,0.239
-0.099,-0.267,-0.049,1.051,0.998
-1.236,1.924,0.349,-0.002,0.132
0.156,-1.027,-1.149,0.540,0.638
-1.081,-0.535,0.139,0.172,0.610
0.176,-0.032,0.847,-1.315,-0.046
0.217,-0.155,0.301,-0.054,-1.420
-0.754,-0.168,-0.574,-1.195,1.135
-1.574,0.108,-0.932,1.052,-0.061
0.403,0.323,0.403,1.047,-0.782
1.081,1.386,-0.741,0.075,-0.478
1.045,0.552,1.011,1.374,1.318
-1.969,-0.859,0.202,-0.134,-1.987
0.533,1.069,0.929,-0.737,-1.404
0.437,-0.412,1.158,0.230,-0.867
-1.466,0.255,-0.733,-1.056,1.685
0.268,0.218,0.614,0.585,-1.316
0.701,1.249,0.306,-0.709,-1.480
-0.506,0.071,-0.558,-1.848,0.609
-0.351,1.925,3.667,-0.934,-1.943
2.186,0.809,0.623,0.555,-0.139
-0.305,0.467,-0.763,-0.254,-1.565
-1.803,0.070,0.557,-1.419,-0.198
-1.303,0.484,-0.078,0.655,1.635
-0.275,-0.197,2.319,0.619,-0.651
0.053,-0.403,1.322,2.222,-1.294
0.492,-1.140,-0.602,1.680,-1.092
-0.016,1.386,-0.286,-0.901,1.438
0.771,0.088,-0.237,1.797,0.846
-0.519,1.886,-0.016,-1.871,1.920
0.501,-0.065,-0.426,0.210,-0.722
1.262,-3.498,0.783,-0.297,-1.817
-0.587,0.861,-0.090,2.295,0.476
-1.894,-0.595,-1.754,-1.312,-0.769
-0.440,-0.558,-1.302,0.090,-0.096
-1.246,0.803,-2.155,0.596,1.378
-0.323,-0.596,-0.883,1.995,-0.517
0.533,0.226,1.290,1.262,1.338
0.820,0.979,0.780,-1.273,0.811
-2.029,1.321,-0.193,-0.503,0.417
-0.594,-0.154,1.982,2.190,-0.293
1.588,1.062,0.400,0.871,1.609
-1.094,0.641,-0.404,-1.942,1.308
0.347,0.156,-0.842,-0.120,0.948
-0.943,0.034,0.331,0.472,0.044
1.321,2.546,0.469,0.243,-0.584
0.966,0.058,0.422,2.201,0.045
0.595,-0.506,-1.824,-0.167,0.791
0.781,-1.040,1.331,1.668,1.578
-1.369,-0.688,-0.571,0.039,0.841
0.109,0.713,0.755,0.465,-0.127
-2.652,-1.639,-0.431,0.783,0.161
-1.632,-0.844,0.162,0.597,-1.599
1.107,-1.682,-0.073,0.848,-0.805
-0.159,0.506,0.359,-0.091,-0.505
-1.066,-0.311,0.298,-0.369,0.509
-0.623,-0.034,-1.750,1.167,-2.597
0.246,-1.784,-0.936,1.353,-1.038
1.549,-0.341,0.001,-1.531,0.925
-0.573,0.455,0.751,0.688,0.725
-0.945,-1.702,0.159,0.372,-0.857
0.524,-0.496,-1.634,0.774,0.813
1.446,-1.443,-0.253,-0.454,0.059
1.737,-0.710,1.224,0.868,-0.462
-1.496,-1.402,2.680,-1.120,-1.012
-2.001,1.431,1.144,-0.861,-0.077
0.006,0.370,-0.846,-0.417,-0.487
-0.942,-0.080,0.848,1.186,-0.214
0.638,0.901,-0.242,1.440,0.942
-1.850,-0.724,-2.602,-0.355,-0.002
0.505,-1.614,-1.218,-0.263,-0.466
-0.460,0.141,0.949,0.609,0.558
0.370,0.352,0.216,0.587,-1.434
-1.125,-0.630,-0.264,3.342,-0.064
-0.419,-2.502,0.818,0.151,0.583
0.447,-0.788,0.191,0.529,-0.044
-1.022,-1.263,0.887,-0.810,0.321
0.352,1.640,0.587,-0.431,-0.659
1.469,0.512,1.013,-0.496,1.006
-0.209,-1.773,-1.767,-1.441,1.218
1.284,1.079,0.148,0.232,1.718
1.482,0.160,-1.215,0.746,0.053
0.939,-1.105,-0.104,-0.226,1.510
-1.700,-0.880,0.640,-0.406,0.314
-0.501,-1.788,-0.020,-0.733,0.935
0.492,0.628,-1.269,0.900,-0.050
1.119,-0.628,-1.342,0.162,1.204
-1.418,0.151,-0.591,1.960,-0.380
-0.582,-1.527,0.157,-0.580,-0.809
0.963,-1.268,0.357,1.903,-0.401
0.222,1.553,0.718,-0.998,1.925
-0.131,-2.176,-0.632,1.001,-2.145
-1.823,-0.114,-0.001,-0.112,-0.044
-0.808,-0.871,-0.341,0.784,0.391
0.740,0.429,1.670,-1.886,-1.719
0.449,-1.273,1.294,-1.403,-0.950
-0.148,-1.603,-0.005,-1.420,0.254
0.566,-0.368,-0.608,-1.571,-0.432
-0.289,-0.217,-0.614,-0.162,0.729
-0.465,-1.561,0.768,1.280,-0.301
-1.110,0.123,-1.654,0.249,1.491
1.320,3.233,0.022,-2.675,-1.377
-0.362,-1.224,1.306,1.743,1.430
-2.155,1.409,0.026,0.028,0.604
-0.713,-0.995,-1.027,-0.923,-0.750
-0.077,-0.128,-0.877,-0.905,-0.807
0.898,-0.459,0.664,-0.720,0.257
0.321,0.232,1.125,-1.374,0.533
-1.151,-0.256,0.771,0.831,0.723
-0.721,0.372,-0.769,1.054,-1.022
0.289,-0.073,-1.614,-1.821,-1.014
-0.609,-1.608,1.430,-0.009,0.260
0.764,1.950,-2.659,0.602,-1.645
2.055,0.836,-0.382,-2.595,-0.208
0.184,-0.696,-0.112,-0.693,1.922
0.502,1.460,0.037,-1.891,-0.294
-1.719,-1.104,-0.567,-1.559,-1.565
0.025,-1.472,-1.098,1.402,1.358
-1.309,1.217,-1.969,0.462,0.292
-0.396,-0.028,-0.006,-0.618,-0.577
1.926,-1.692,-0.347,0.768,1.659
-0.317,-0.396,0.960,2.484,0.693
-0.409,-0.194,-0.557,-0.409,0.696
-1.075,-0.595,-0.573,1.995,1.227
-2.631,0.896,1.447,0.348,-1.499
-0.844,-0.195,1.740,-2.288,-1.473
1.168,0.561,-0.659,-1.391,-0.043
-0.068,0.043,-0.070,-0.641,-1.053
0.981,-0.362,-0.234,1.410,1.846
-0.129,-0.780,0.788,0.397,-0.843
-0.026,-0.628,-0.820,-1.257,-1.134
2.123,-0.100,-0.556,-0.326,-0.609
-0.665,0.895,0.226,-0.597,1.499
-0.767,1.614,0.818,-1.598,-0.746
-1.068,0.431,-0.012,-1.168,0.183
-1.939,1.865,1.329,-0.172,-2.710
0.368,-0.918,0.147,1.029,1.909
-0.094,0.534,-0.093,-0.033,-0.706
2.506,-1.263,-0.051,-0.784,-0.112
-0.540,-1.483,-0.514,-0.395,-1.573
0.935,0.045,-0.651,-0.226,-0.775
1.424,-1.250,-1.094,-1.076,-1.537
-0.686,0.725,-0.090,-0.512,0.514
-0.178,0.250,0.957,1.156,-0.850
-0.813,0.381,0.249,-0.800,-0.415
0.709,-0.556,-0.814,0.570,1.365
1.530,-0.646,-0.428,-0.108,0.008
-0.906,0.505,0.942,-0.052,-0.495
-1.455,-1.484,0.644,-0.285,0.827
-0.204,1.766,-0.744,0.145,-1.229
-1.865,1.949,-0.391,-0.142,-0.998
-0.576,-0.234,-1.983,0.975,-0.122
0.819,0.026,-0.832,0.107,0.825
