2.361,1.033,1.393,12.594,10.165,5.995
0.428,0.080,0.193,1.513,0.655,0.194
1.785,1.296,0.554,1.055,5.461,3.220
0.152,0.271,47.851,32.987,0.733,4.502
0.721,2.249,0.552,0.051,0.280,2.298
0.493,0.261,0.598,2.264,5.755,4.214
0.418,0.499,0.682,0.350,0.349,0.258
3.972,3.403,0.522,1.030,2.680,0.673
0.864,3.339,25.982,11.066,10.659,6.085
1.534,2.232,1.202,0.293,0.401,2.933
0.537,1.630,5.016,4.157,1.906,0.574
1.620,0.576,0.883,8.422,0.708,0.362
1.040,2.431,0.576,0.633,4.632,1.635
3.833,8.899,4.586,2.936,1.622,1.060
0.181,0.105,0.201,0.169,0.107,0.138
0.336,0.105,0.159,0.401,0.323,0.386
0.277,0.197,0.316,0.242,1.396,9.705
1.122,1.151,0.671,1.011,2.698,0.979
0.269,0.451,2.026,0.769,0.146,0.374
1.499,2.469,2.846,4.349,0.681,0.311
4.903,11.610,5.371,0.420,0.041,0.594
3.676,0.929,0.125,0.386,1.827,8.326
1.947,4.751,4.786,1.527,0.311,0.224
0.254,0.513,3.030,1.024,0.186,0.106
1.596,1.012,0.137,0.436,2.666,3.233
0.659,2.427,4.312,0.286,0.195,10.259
1.821,3.163,1.237,0.499,0.278,0.222
2.952,1.762,0.245,0.157,0.118,0.161
0.539,1.920,1.326,0.070,0.879,8.248
2.080,0.906,4.710,17.891,2.629,0.975
0.701,0.505,0.079,0.212,2.942,2.287
5.769,9.202,1.629,4.727,5.189,3.427
1.613,0.467,0.043,0.182,1.672,2.904
2.092,2.096,1.212,1.490,3.395,4.092
4.960,17.215,2.973,1.695,9.179,9.567
0.382,0.398,2.077,0.695,0.187,1.051
0.873,1.094,1.969,0.803,0.946,0.488
0.342,0.233,0.184,0.182,0.303,0.187
1.639,1.574,0.734,1.881,5.801,2.669
0.526,0.239,0.053,0.345,2.268,0.119
0.098,0.059,1.187,2.206,1.153,1.902
0.128,0.173,1.183,1.671,0.336,0.135
1.850,3.975,1.529,2.175,4.348,6.906
1.448,1.131,1.918,1.930,0.361,0.870
4.184,5.604,0.734,0.857,1.283,0.982
1.613,88.676,59.215,1.509,0.193,0.137
3.172,3.208,1.356,0.176,0.147,3.681
0.753,0.321,0.189,0.645,1.109,2.096
1.291,0.211,0.155,1.641,1.827,2.923
0.421,0.070,0.051,0.413,1.945,1.503
9.071,15.451,0.899,1.138,2.847,1.994
0.840,0.253,0.269,9.128,2.941,0.853
0.345,0.539,0.175,0.065,1.942,6.294
0.224,0.186,0.777,2.676,4.734,5.806
1.164,0.438,0.579,5.838,0.456,0.130
2.276,1.861,1.307,7.612,2.070,0.463
0.925,0.398,0.826,1.119,0.547,0.171
5.548,9.121,2.024,0.791,0.571,0.461
2.420,8.984,1.080,0.191,0.286,0.509
1.151,2.730,1.095,1.058,5.114,1.332
1.106,1.512,5.090,3.577,1.076,1.312
0.210,0.716,1.658,1.319,1.461,0.365
1.460,5.198,3.706,1.310,1.160,2.194
0.701,0.436,1.130,9.077,4.625,0.745
0.591,0.347,0.083,2.166,163.549,68.218
1.612,21.988,23.162,1.786,1.841,1.072
0.337,0.243,0.080,0.150,0.850,1.159
1.384,0.176,0.341,4.287,0.694,0.283
0.403,1.525,3.168,2.028,1.033,1.048
7.899,30.918,3.874,2.811,0.852,0.130
0.308,0.143,0.055,0.028,0.061,0.128
0.526,0.525,5.400,16.833,0.790,0.104
0.861,2.319,1.865,1.963,2.105,0.609
0.882,0.693,1.107,1.077,0.143,0.360
1.423,0.678,3.227,6.623,5.020,0.941
1.118,0.507,0.054,0.350,1.559,0.879
3.001,2.707,1.217,2.678,6.630,4.720
2.760,3.033,3.996,6.866,3.446,6.243
1.616,3.367,2.815,1.799,0.240,1.338
0.746,0.462,0.216,0.183,0.651,0.861
1.803,0.847,0.169,0.382,1.564,1.102
0.755,1.431,1.003,0.744,0.313,0.090
0.267,2.624,5.043,0.355,0.113,0.340
0.744,1.384,4.397,13.127,21.552,8.879
1.062,0.762,0.297,0.785,2.166,4.544
2.019,0.439,0.233,1.728,0.338,0.172
1.163,0.537,0.957,1.444,0.636,1.846
25.472,7.310,0.285,1.254,2.166,1.645
0.735,0.437,0.612,0.376,0.149,1.369
3.029,4.289,1.239,0.341,0.634,1.653
0.588,0.212,0.165,0.363,3.119,3.726
0.755,1.586,2.698,2.904,6.023,1.002
2.988,1.020,0.056,0.565,1.489,1.447
0.392,0.209,0.478,0.208,0.203,2.098
1.044,0.961,0.809,1.924,2.425,0.907
0.495,0.344,0.528,2.630,30.517,4.718
1.440,0.579,0.036,0.264,2.072,0.707
0.554,0.265,0.592,0.635,1.890,4.192
2.760,13.823,19.549,3.222,0.359,1.008
1.632,0.667,0.895,2.159,0.600,0.046
0.527,0.653,1.038,1.665,7.064,13.088
1.210,2.308,4.031,1.774,0.780,0.554
3.882,1.793,0.851,8.115,0.890,0.113
0.987,5.064,7.326,0.447,1.065,1.861
0.532,0.307,0.629,3.071,12.911,2.427
0.599,0.330,0.815,3.076,0.970,0.288
1.068,0.170,0.149,1.787,2.099,0.586
1.536,1.970,3.275,2.778,2.034,0.092
0.287,0.362,4.363,2.951,0.569,1.165
0.162,2.576,15.691,1.189,3.390,1.229
1.767,6.183,7.832,5.029,2.896,2.737
0.640,0.253,0.102,0.193,0.035,0.044
1.337,2.489,5.506,6.879,23.371,17.006
1.925,3.268,0.290,0.174,1.275,3.473
0.472,0.220,0.456,2.837,1.400,3.609
5.073,3.971,0.323,0.383,0.587,0.778
1.160,2.162,3.824,0.760,1.012,5.058
0.662,1.184,0.853,0.314,0.680,0.992
1.054,1.936,1.070,3.372,13.162,1.628
0.762,4.904,11.888,3.479,2.810,1.345
0.704,1.315,1.422,0.224,0.233,1.658
0.831,3.349,6.026,1.242,0.384,0.363
3.032,2.360,0.579,1.895,4.844,1.493
0.963,0.227,0.893,3.084,3.637,27.157
1.821,2.423,4.278,2.451,0.111,0.064
0.227,0.589,1.127,0.948,0.413,0.137
0.706,0.772,0.655,0.150,0.182,0.215
1.088,3.205,0.865,0.119,0.172,3.464
3.242,5.730,0.832,0.553,10.566,40.858
0.793,3.263,7.628,0.944,0.295,0.640
1.428,0.917,2.125,5.145,0.266,0.141
0.234,0.215,0.959,2.295,9.434,6.047
0.214,0.374,2.884,3.900,1.394,0.454
0.750,0.269,0.058,0.180,0.411,0.946
0.083,0.035,1.908,4.428,13.379,6.341
0.150,0.215,0.373,0.272,0.461,0.071
0.369,1.743,3.869,1.687,0.762,0.066
1.295,5.501,8.566,0.642,0.284,1.047
0.066,0.088,2.054,10.008,5.013,0.248
1.105,3.616,2.224,0.438,0.319,0.089
1.927,5.193,19.143,6.250,1.103,0.785
1.509,1.150,0.305,0.581,2.211,4.586
2.096,0.868,0.914,18.787,25.577,1.453
1.236,9.210,9.666,1.648,3.109,1.435
0.304,1.653,1.034,0.188,0.598,2.779
0.245,0.751,4.247,0.699,0.416,0.917
1.442,1.250,0.812,34.291,47.968,0.927
0.473,0.360,0.085,0.161,0.500,0.026
0.200,0.153,4.283,2.126,3.130,5.322
1.350,4.674,2.364,1.096,1.737,0.286
0.084,0.029,0.462,0.777,1.290,1.798
5.619,0.870,0.042,0.369,0.607,0.460
4.391,8.201,4.300,2.292,2.480,6.526
1.416,0.456,0.301,1.442,7.110,4.051
0.184,0.541,0.508,0.274,0.605,0.892
2.895,6.713,4.970,3.917,0.180,0.071
0.400,0.695,1.219,2.878,7.788,2.457
1.260,3.187,6.320,1.900,2.908,1.281
2.542,2.210,0.334,2.159,14.590,2.515
3.920,0.890,0.057,0.195,0.953,2.991
1.289,0.217,0.759,3.798,0.120,0.301
0.558,0.201,1.097,2.710,1.750,1.359
5.123,3.578,1.312,3.673,2.718,1.679
0.897,0.357,1.193,1.341,3.659,5.108
0.839,0.810,0.412,1.803,3.054,1.251
0.119,0.057,2.294,20.392,10.235,0.742
1.226,1.188,1.371,7.752,5.310,0.788
1.418,0.362,3.635,2.433,0.133,1.347
0.472,0.185,0.329,1.061,2.344,4.383
0.298,0.426,5.618,4.752,2.230,0.719
2.256,1.509,0.500,0.644,1.477,14.401
0.905,2.190,15.806,2.038,0.195,0.159
