0.384,1.009,2.223,0.768,1.380,1.750,4.984,9.100,2.369,1.691
0.103,0.592,2.735,0.662,1.082,3.387,0.558,0.094,0.503,2.123
0.429,0.708,0.480,0.099,0.136,0.684,17.124,10.408,0.342,0.563
0.722,0.664,0.505,0.534,0.619,0.173,0.672,5.928,13.241,5.881
0.206,0.108,0.955,2.575,0.449,0.589,1.675,1.345,2.070,0.440
4.923,1.996,0.225,0.673,0.880,0.222,0.249,0.567,1.260,0.347
2.445,7.617,0.686,1.145,3.389,9.096,25.563,1.303,2.402,3.753
0.977,0.987,0.179,0.481,4.844,0.942,0.444,1.408,1.255,0.590
11.224,63.354,50.940,20.363,5.882,0.804,2.102,2.223,0.169,0.349
0.628,0.139,0.133,0.472,0.406,0.951,10.597,7.807,2.768,12.512
0.490,0.650,1.461,1.118,0.858,1.312,5.115,1.278,1.071,3.558
0.719,0.423,0.805,2.061,0.516,0.140,0.254,1.244,3.482,0.469
0.215,0.218,0.911,0.408,8.121,9.858,0.887,4.868,0.882,1.092
1.680,6.468,8.934,10.249,1.560,0.161,0.126,0.486,1.389,2.033
1.139,0.254,0.279,0.718,1.699,2.476,0.856,0.343,0.660,1.681
0.168,0.056,0.114,0.249,0.441,0.500,1.164,2.840,3.058,0.849
0.536,0.218,0.678,0.763,0.515,0.529,0.753,0.684,0.155,0.254
6.641,5.932,0.615,0.794,0.752,5.741,27.880,0.518,0.144,1.533
1.903,5.216,4.096,1.081,0.378,1.192,3.465,2.790,0.611,0.123
0.785,2.146,4.762,2.245,0.298,0.049,0.270,1.263,0.363,0.410
1.785,4.575,0.973,0.629,2.536,2.076,0.830,0.276,0.195,0.118
0.178,0.144,0.650,2.485,2.983,0.524,2.146,19.800,2.488,1.003
0.372,0.941,0.839,0.616,1.064,0.599,0.825,1.437,3.764,0.722
0.344,0.239,0.223,0.085,1.534,4.086,1.385,2.689,1.420,0.362
0.235,0.415,2.392,0.264,0.238,2.365,13.150,17.941,2.938,0.693
0.790,0.418,3.276,0.793,0.307,0.926,0.312,6.941,2.250,0.283
1.340,1.290,0.164,0.076,0.830,2.161,0.315,0.713,1.172,0.176
0.944,0.797,1.080,2.902,7.731,5.799,2.455,0.837,0.214,1.284
4.553,6.398,1.009,0.312,0.258,0.770,0.109,0.044,0.087,0.212
1.565,3.271,4.956,5.385,0.892,0.343,0.474,0.131,0.469,5.249
1.352,0.244,0.861,5.325,0.366,1.574,5.256,0.511,0.215,1.814
0.474,0.218,2.895,3.067,0.438,1.176,1.133,0.318,0.147,1.350
1.761,7.812,23.555,4.088,0.391,0.248,3.344,42.260,9.624,0.888
1.307,1.123,6.329,6.779,1.403,1.206,0.407,0.494,2.802,0.988
0.280,0.377,3.527,4.285,2.565,3.326,1.294,0.296,0.318,0.515
2.248,7.073,10.114,1.456,0.957,2.174,0.318,0.157,0.429,1.349
0.463,0.331,0.783,0.276,0.316,0.678,0.146,0.055,0.152,0.170
2.719,3.521,0.818,1.666,1.175,0.762,5.724,5.687,1.608,0.895
5.086,3.258,0.182,0.218,0.672,0.545,0.111,0.532,2.845,12.135
11.267,1.696,0.014,0.172,2.373,1.043,1.825,0.569,0.531,5.907
0.622,6.124,16.278,3.328,5.770,3.065,1.394,2.321,4.220,0.850
0.356,0.308,1.934,0.658,0.111,0.210,0.210,0.173,0.446,0.341
0.796,3.949,10.675,1.327,1.063,1.049,0.374,0.785,0.184,0.026
0.655,1.057,11.804,25.728,2.225,0.461,1.149,0.296,0.080,0.705
0.182,1.141,6.810,1.034,1.651,0.679,0.329,0.258,0.560,0.712
0.075,0.099,0.552,0.616,3.693,2.457,1.275,0.300,0.521,0.393
0.840,0.784,0.541,0.528,2.159,0.983,0.413,4.744,2.966,0.417
6.048,2.204,0.842,1.684,0.406,0.135,0.711,1.173,0.156,0.607
3.000,0.378,0.252,10.807,3.607,7.052,3.877,0.215,0.079,0.091
1.274,1.767,1.773,1.271,5.976,23.777,2.935,0.470,1.121,0.647
0.625,0.296,1.385,0.820,0.075,0.310,2.710,4.672,1.433,0.264
0.963,0.667,0.234,0.242,9.428,7.814,0.332,0.156,0.584,1.206
1.513,5.412,6.898,1.205,2.672,2.928,3.012,5.488,2.083,4.378
11.128,6.390,1.198,0.241,0.085,0.492,0.365,0.472,0.514,1.482
