0.076,0.056,0.135,0.644,0.088
0.386,0.270,0.078,0.152,0.114
0.046,0.098,0.471,0.297,0.088
0.714,0.031,0.048,0.191,0.016
0.058,0.138,0.133,0.252,0.419
0.219,0.054,0.440,0.197,0.090
0.293,0.384,0.069,0.151,0.103
0.628,0.019,0.115,0.177,0.061
0.549,0.052,0.115,0.216,0.070
0.199,0.406,0.041,0.242,0.112
0.084,0.355,0.469,0.076,0.017
0.089,0.306,0.216,0.034,0.355
0.175,0.175,0.160,0.110,0.380
0.053,0.085,0.193,0.565,0.105
0.384,0.066,0.506,0.020,0.023
0.090,0.082,0.640,0.159,0.029
0.129,0.271,0.276,0.021,0.303
0.016,0.226,0.295,0.049,0.413
0.318,0.345,0.103,0.085,0.149
0.082,0.539,0.022,0.220,0.137
0.698,0.112,0.059,0.079,0.051
0.518,0.034,0.100,0.202,0.146
0.106,0.047,0.318,0.296,0.233
0.035,0.600,0.085,0.221,0.058
0.093,0.217,0.209,0.400,0.080
0.118,0.528,0.122,0.164,0.068
0.220,0.288,0.138,0.082,0.272
0.047,0.197,0.220,0.124,0.411
0.503,0.276,0.039,0.077,0.105
0.064,0.599,0.096,0.199,0.042
0.144,0.179,0.140,0.422,0.115
0.015,0.110,0.181,0.208,0.487
0.288,0.189,0.228,0.226,0.068
0.433,0.250,0.088,0.182,0.046
0.283,0.091,0.316,0.297,0.013
0.201,0.117,0.260,0.339,0.083
0.046,0.553,0.085,0.066,0.251
0.271,0.048,0.146,0.158,0.376
0.059,0.320,0.076,0.172,0.373
0.066,0.254,0.040,0.091,0.549
0.119,0.222,0.150,0.426,0.083
0.326,0.338,0.120,0.161,0.056
0.112,0.240,0.229,0.380,0.039
0.228,0.164,0.137,0.074,0.397
0.096,0.090,0.154,0.649,0.012
0.130,0.041,0.664,0.036,0.129
0.406,0.226,0.006,0.324,0.038
0.095,0.213,0.327,0.236,0.129
0.042,0.063,0.578,0.268,0.048
0.083,0.061,0.182,0.124,0.550
0.129,0.152,0.098,0.050,0.570
0.619,0.039,0.014,0.132,0.197
0.173,0.276,0.186,0.108,0.257
0.156,0.096,0.198,0.318,0.232
0.128,0.045,0.258,0.022,0.548
0.032,0.401,0.042,0.346,0.179
0.326,0.206,0.238,0.153,0.077
0.243,0.160,0.267,0.200,0.130
0.058,0.126,0.565,0.023,0.228
0.150,0.118,0.092,0.593,0.047
0.072,0.112,0.778,0.019,0.019
0.156,0.056,0.090,0.224,0.474
0.048,0.041,0.066,0.797,0.048
0.266,0.080,0.226,0.237,0.190
0.145,0.253,0.322,0.019,0.261
0.099,0.165,0.103,0.532,0.101
0.322,0.123,0.360,0.092,0.104
0.240,0.075,0.216,0.408,0.060
0.141,0.230,0.134,0.431,0.064
0.266,0.172,0.150,0.367,0.044
0.680,0.038,0.186,0.062,0.035
0.083,0.319,0.103,0.246,0.249
