0.202,0.068,0.123,0.196,0.412
0.518,0.117,0.134,0.066,0.165
0.053,0.128,0.051,0.717,0.051
0.105,0.218,0.201,0.074,0.402
0.130,0.176,0.432,0.065,0.197
0.083,0.138,0.579,0.034,0.166
0.236,0.266,0.259,0.154,0.084
0.339,0.202,0.027,0.222,0.210
0.297,0.533,0.092,0.016,0.062
0.043,0.489,0.216,0.148,0.105
0.094,0.129,0.088,0.581,0.108
0.028,0.113,0.260,0.576,0.023
0.256,0.051,0.203,0.147,0.342
0.014,0.139,0.038,0.746,0.063
0.173,0.530,0.093,0.056,0.148
0.019,0.296,0.024,0.622,0.039
0.141,0.091,0.110,0.111,0.547
0.174,0.083,0.327,0.365,0.051
0.174,0.499,0.106,0.169,0.053
0.360,0.133,0.137,0.200,0.170
0.014,0.581,0.122,0.125,0.158
0.394,0.044,0.380,0.135,0.046
0.146,0.019,0.460,0.337,0.038
0.145,0.113,0.178,0.489,0.075
0.450,0.263,0.060,0.196,0.031
0.173,0.590,0.168,0.019,0.050
0.126,0.269,0.191,0.234,0.180
0.182,0.126,0.151,0.415,0.125
0.095,0.432,0.085,0.198,0.191
0.061,0.417,0.322,0.117,0.084
0.033,0.426,0.083,0.168,0.291
0.220,0.062,0.197,0.493,0.028
0.058,0.030,0.240,0.041,0.631
0.296,0.202,0.063,0.222,0.216
0.294,0.073,0.165,0.432,0.036
0.016,0.055,0.460,0.387,0.081
0.094,0.119,0.088,0.522,0.177
0.092,0.503,0.056,0.041,0.309
0.369,0.175,0.079,0.161,0.216
0.296,0.189,0.297,0.050,0.168
0.317,0.071,0.118,0.200,0.294
0.086,0.287,0.430,0.072,0.126
0.139,0.270,0.273,0.030,0.289
0.109,0.106,0.015,0.100,0.670
0.190,0.075,0.157,0.343,0.234
0.264,0.099,0.352,0.251,0.034
0.519,0.138,0.018,0.175,0.150
0.274,0.067,0.204,0.195,0.260
0.229,0.060,0.058,0.587,0.066
0.138,0.037,0.599,0.206,0.021
0.176,0.234,0.097,0.073,0.419
0.171,0.259,0.427,0.107,0.035
0.058,0.073,0.123,0.246,0.499
