0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033
0.033,0.032,0.045,0.042,0.028,0.037,0.022,0.040,0.035,0.038,0.036,0.046,0.031,0.052,0.021,0.027,0.022,0.028,0.024,0.035,0.032,0.039,0.026,0.048,0.030,0.029,0.037,0.035,0.021,0.028
0.029,0.033,0.044,0.046,0.032,0.039,0.021,0.039,0.033,0.028,0.036,0.042,0.033,0.049,0.019,0.024,0.019,0.036,0.023,0.042,0.040,0.035,0.027,0.043,0.029,0.028,0.039,0.044,0.021,0.028
0.035,0.033,0.048,0.046,0.029,0.035,0.021,0.045,0.034,0.032,0.037,0.035,0.028,0.052,0.016,0.025,0.020,0.037,0.028,0.044,0.036,0.036,0.018,0.044,0.024,0.034,0.037,0.041,0.020,0.032
0.032,0.028,0.046,0.040,0.031,0.045,0.017,0.040,0.040,0.037,0.031,0.042,0.041,0.047,0.022,0.026,0.017,0.032,0.029,0.046,0.036,0.035,0.026,0.040,0.025,0.028,0.032,0.047,0.017,0.027
0.032,0.037,0.054,0.031,0.030,0.033,0.020,0.042,0.036,0.031,0.038,0.049,0.034,0.044,0.015,0.028,0.018,0.032,0.027,0.038,0.035,0.039,0.023,0.047,0.026,0.032,0.037,0.045,0.020,0.026
0.029,0.034,0.047,0.041,0.027,0.043,0.023,0.042,0.039,0.038,0.028,0.051,0.032,0.048,0.014,0.020,0.022,0.030,0.025,0.043,0.039,0.040,0.021,0.040,0.028,0.032,0.031,0.041,0.021,0.030
0.039,0.032,0.049,0.033,0.031,0.037,0.020,0.036,0.045,0.032,0.028,0.041,0.027,0.054,0.017,0.026,0.022,0.030,0.028,0.043,0.036,0.042,0.024,0.044,0.028,0.029,0.032,0.042,0.022,0.029
0.031,0.029,0.051,0.038,0.034,0.038,0.020,0.036,0.037,0.034,0.034,0.045,0.029,0.052,0.018,0.024,0.020,0.031,0.026,0.043,0.032,0.042,0.020,0.050,0.028,0.026,0.033,0.046,0.023,0.029
0.032,0.032,0.057,0.032,0.030,0.042,0.017,0.041,0.037,0.035,0.041,0.046,0.028,0.041,0.019,0.019,0.023,0.031,0.028,0.043,0.035,0.041,0.022,0.042,0.027,0.028,0.037,0.046,0.017,0.032
0.035,0.032,0.056,0.036,0.032,0.039,0.019,0.039,0.035,0.029,0.032,0.039,0.034,0.053,0.019,0.020,0.021,0.036,0.028,0.038,0.030,0.052,0.024,0.048,0.026,0.024,0.033,0.038,0.025,0.029
0.036,0.029,0.050,0.032,0.030,0.033,0.015,0.040,0.037,0.034,0.032,0.049,0.037,0.052,0.019,0.023,0.027,0.036,0.027,0.044,0.034,0.042,0.025,0.043,0.027,0.028,0.029,0.039,0.022,0.028
0.029,0.031,0.043,0.040,0.026,0.039,0.020,0.038,0.034,0.031,0.031,0.050,0.034,0.051,0.018,0.021,0.024,0.033,0.026,0.050,0.033,0.039,0.022,0.055,0.025,0.030,0.036,0.047,0.020,0.026
0.033,0.027,0.049,0.034,0.033,0.042,0.019,0.043,0.035,0.035,0.035,0.050,0.030,0.049,0.018,0.022,0.030,0.031,0.022,0.047,0.031,0.035,0.026,0.050,0.031,0.027,0.028,0.045,0.018,0.024
0.031,0.030,0.042,0.041,0.034,0.035,0.018,0.049,0.044,0.029,0.029,0.044,0.026,0.047,0.016,0.027,0.027,0.032,0.031,0.043,0.038,0.039,0.026,0.043,0.028,0.026,0.038,0.040,0.022,0.025
0.032,0.028,0.041,0.040,0.029,0.033,0.020,0.043,0.036,0.028,0.032,0.043,0.036,0.041,0.018,0.024,0.025,0.032,0.029,0.045,0.036,0.049,0.025,0.043,0.023,0.028,0.044,0.050,0.020,0.025
0.033,0.026,0.051,0.038,0.033,0.038,0.021,0.042,0.034,0.032,0.037,0.049,0.032,0.043,0.015,0.019,0.025,0.034,0.035,0.049,0.036,0.038,0.020,0.040,0.020,0.033,0.035,0.046,0.019,0.027
