0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077
0.012,-0.016,0.309,0.178,0.079,0.137,-0.103,0.399,-0.063,-0.018,-0.028,0.238,-0.117
0.149,0.067,0.289,0.248,0.109,0.189,-0.222,0.449,-0.034,-0.025,-0.099,0.146,-0.338
0.007,-0.030,0.301,0.164,-0.058,0.227,-0.261,0.283,-0.080,-0.165,-0.280,0.092,-0.369
0.182,0.104,0.368,0.188,0.100,0.406,-0.250,0.315,0.021,-0.028,-0.137,0.377,-0.331
0.253,0.097,0.497,0.331,0.099,0.428,-0.112,0.501,0.012,0.159,-0.076,0.359,-0.224
0.392,0.070,0.390,0.320,0.079,0.341,-0.038,0.507,-0.034,0.096,-0.059,0.370,-0.321
0.280,0.129,0.481,0.370,0.111,0.367,-0.028,0.601,0.098,0.090,-0.050,0.475,-0.183
0.446,0.204,0.551,0.426,0.155,0.531,-0.082,0.655,0.168,0.015,-0.051,0.486,-0.133
0.206,0.174,0.498,0.400,0.130,0.495,-0.041,0.529,0.238,0.001,0.017,0.359,-0.096
0.143,0.028,0.422,0.122,-0.097,0.347,-0.225,0.327,-0.002,-0.151,-0.236,0.271,-0.237
0.193,0.107,0.505,0.344,-0.071,0.473,0.093,0.590,0.231,0.010,-0.098,0.329,-0.113
0.117,-0.193,0.296,0.097,-0.091,0.296,-0.274,0.324,0.008,-0.267,-0.288,0.236,-0.249
-0.043,-0.225,0.264,0.012,-0.349,0.134,-0.317,0.235,-0.160,-0.366,-0.392,0.124,-0.296
-0.105,-0.399,0.095,-0.068,-0.366,0.091,-0.334,0.039,-0.334,-0.327,-0.469,-0.119,-0.413
-0.099,-0.320,-0.032,-0.106,-0.382,-0.028,-0.537,0.064,-0.207,-0.436,-0.612,-0.109,-0.556
-0.310,-0.393,-0.092,-0.169,-0.249,-0.055,-0.535,0.057,-0.291,-0.425,-0.529,-0.199,-0.516
-0.200,-0.290,0.099,0.014,-0.118,0.082,-0.289,0.125,-0.141,-0.263,-0.313,-0.078,-0.489
-0.096,-0.508,0.163,-0.022,-0.197,-0.092,-0.335,-0.009,-0.391,-0.550,-0.583,-0.070,-0.481
-0.203,-0.344,-0.011,-0.051,-0.255,-0.093,-0.577,-0.076,-0.265,-0.424,-0.418,-0.194,-0.338
-0.301,-0.561,-0.220,-0.233,-0.532,-0.228,-0.772,-0.263,-0.635,-0.668,-0.729,-0.351,-0.766
-0.398,-0.662,-0.324,-0.369,-0.700,-0.321,-0.824,-0.269,-0.691,-0.575,-0.793,-0.331,-0.777
-0.332,-0.593,-0.187,-0.409,-0.611,-0.189,-0.866,-0.270,-0.404,-0.745,-0.658,-0.440,-0.680
-0.229,-0.412,0.007,-0.211,-0.559,0.058,-0.600,-0.092,-0.371,-0.414,-0.435,-0.072,-0.496
-0.133,-0.254,-0.023,-0.096,-0.405,-0.040,-0.481,-0.035,-0.207,-0.460,-0.586,-0.174,-0.517
-0.273,-0.337,0.109,-0.146,-0.364,-0.003,-0.459,0.112,-0.346,-0.380,-0.470,-0.180,-0.387
-0.138,-0.380,-0.034,-0.137,-0.470,0.004,-0.564,0.039,-0.320,-0.513,-0.536,-0.207,-0.572
-0.020,-0.096,0.309,0.092,-0.214,0.276,-0.401,0.459,-0.082,-0.251,-0.165,0.039,-0.330
0.237,-0.059,0.503,0.409,0.040,0.509,-0.171,0.533,0.077,0.026,-0.096,0.337,-0.044
-0.165,-0.208,0.199,0.139,-0.077,0.176,-0.423,0.373,-0.135,-0.042,-0.212,0.161,-0.246
-0.128,-0.261,0.099,0.053,-0.284,0.119,-0.384,0.202,-0.157,-0.307,-0.336,-0.041,-0.354
-0.001,-0.244,0.197,0.100,-0.041,0.376,-0.353,0.181,-0.055,-0.338,-0.297,0.026,-0.450
-0.061,-0.120,0.168,0.049,-0.352,0.104,-0.386,0.285,-0.197,-0.187,-0.391,0.142,-0.274
-0.090,-0.194,-0.052,0.056,-0.406,0.041,-0.664,0.103,-0.360,-0.351,-0.338,-0.043,-0.532
-0.119,-0.328,-0.009,-0.012,-0.336,-0.016,-0.522,0.063,-0.160,-0.308,-0.515,-0.115,-0.395
-0.334,-0.519,-0.144,-0.249,-0.313,-0.202,-0.545,0.057,-0.481,-0.612,-0.711,-0.241,-0.506
-0.202,-0.383,0.054,-0.011,-0.294,0.103,-0.441,0.110,-0.204,-0.233,-0.412,-0.082,-0.547
-0.218,-0.482,-0.075,-0.062,-0.425,-0.103,-0.582,0.007,-0.359,-0.416,-0.616,-0.234,-0.627
-0.272,-0.431,-0.170,-0.136,-0.436,-0.076,-0.476,0.196,-0.277,-0.432,-0.520,-0.244,-0.528
-0.249,-0.488,-0.144,-0.170,-0.326,-0.024,-0.606,-0.011,-0.419,-0.417,-0.533,-0.377,-0.543
-0.149,-0.271,0.047,-0.006,-0.347,-0.063,-0.525,0.022,-0.454,-0.318,-0.516,-0.140,-0.622
-0.129,-0.249,0.088,-0.057,-0.196,0.130,-0.379,0.114,-0.244,-0.237,-0.570,-0.176,-0.583
-0.135,-0.104,0.205,0.107,-0.269,0.172,-0.352,0.275,-0.104,-0.206,-0.464,-0.055,-0.438
0.101,-0.193,0.259,0.186,-0.153,0.185,-0.350,0.392,-0.069,-0.003,-0.154,0.175,-0.242
0.170,-0.013,0.377,0.334,0.101,0.363,-0.122,0.530,0.070,0.021,-0.001,0.335,-0.054
0.226,-0.001,0.483,0.288,0.138,0.395,-0.059,0.514,0.044,0.185,-0.058,0.205,-0.005
0.572,0.236,0.591,0.441,0.269,0.445,0.090,0.709,0.299,0.097,0.153,0.471,0.107
0.314,0.083,0.362,0.283,0.098,0.454,-0.062,0.524,0.053,0.044,-0.132,0.272,0.051
0.225,0.057,0.393,0.217,-0.014,0.427,-0.217,0.460,0.064,0.031,0.004,0.279,-0.000
0.043,-0.048,0.344,0.141,-0.135,0.235,-0.264,0.310,-0.035,0.127,0.035,0.211,-0.290
0.325,0.240,0.406,0.360,0.132,0.424,-0.097,0.451,0.042,0.002,-0.079,0.290,-0.092
0.391,0.048,0.497,0.467,0.143,0.354,-0.065,0.594,0.196,0.247,-0.119,0.384,-0.039
0.265,-0.055,0.262,0.181,-0.130,0.103,-0.260,0.410,-0.074,-0.059,-0.303,0.281,-0.289
-0.222,-0.338,-0.029,0.049,-0.223,0.065,-0.418,0.123,-0.275,-0.251,-0.401,-0.017,-0.363
0.206,-0.054,0.193,0.242,0.101,0.412,-0.188,0.360,-0.021,-0.126,-0.322,0.044,-0.335
0.141,-0.012,0.369,0.309,-0.003,0.330,-0.247,0.427,0.095,-0.025,-0.151,0.281,-0.100
0.031,-0.129,0.216,0.092,-0.038,0.141,-0.208,0.284,-0.049,-0.114,-0.251,0.157,-0.224
-0.047,-0.288,0.145,-0.068,-0.330,0.031,-0.578,0.214,-0.250,-0.178,-0.509,0.006,-0.430
